time,intensity,distance
0.001,963,2.70
0.002,962,3.11
0.007,962,3.11
0.023,961,3.01
0.039,961,2.72
0.056,961,2.70
0.073,962,2.70
0.090,960,2.60
0.106,961,2.70
0.122,963,2.70
0.140,963,2.70
0.156,963,2.62
0.173,960,2.72
0.189,959,2.70
0.206,960,2.70
0.223,961,2.62
0.239,961,2.70
0.256,961,2.75
0.273,958,2.35
0.289,959,2.24
0.306,959,2.75
0.322,958,3.16
0.339,959,2.70
0.356,960,2.60
0.372,962,3.11
0.389,963,2.65
0.406,963,2.60
0.422,965,2.45
0.439,964,2.55
0.455,965,2.55
0.473,964,2.55
0.489,964,2.45
0.505,964,2.62
0.522,962,2.60
0.539,962,2.65
0.556,964,2.55
0.572,960,2.65
0.588,961,2.65
0.606,960,3.11
0.622,961,3.01
0.638,963,3.11
0.655,961,3.11
0.672,960,2.70
0.689,960,2.60
0.705,960,2.70
0.721,962,2.70
0.739,959,2.77
0.755,958,2.24
0.772,960,2.35
0.788,958,2.35
0.805,957,2.35
0.822,958,2.24
0.838,958,2.35
0.855,960,2.35
0.872,959,2.35
0.888,959,2.26
0.905,958,2.35
0.921,959,2.35
0.939,960,2.72
0.955,958,2.60
0.971,961,2.70
0.988,959,2.70
1.005,959,2.70
1.021,959,2.62
1.038,958,3.16
1.054,957,2.35
1.072,958,2.35
1.088,956,1.89
1.104,955,2.40
1.121,954,2.04
1.138,952,2.50
1.155,952,2.01
1.171,953,2.09
1.187,953,2.55
1.205,952,2.14
1.221,954,2.04
1.238,952,2.62
1.254,950,2.19
1.271,951,2.26
1.288,949,2.60
1.304,950,2.30
1.320,948,2.36
1.338,946,2.40
1.354,946,2.30
1.371,947,2.47
1.387,944,2.45
1.404,943,2.50
1.421,942,2.40
1.437,941,2.55
1.454,941,2.60
1.471,939,2.65
1.487,940,2.60
1.504,940,2.81
1.520,937,2.86
1.538,935,2.55
1.554,932,2.96
1.570,933,3.16
1.587,931,2.81
1.604,928,2.86
1.620,927,2.81
1.637,928,3.42
1.653,927,3.47
1.671,924,3.47
1.687,922,3.01
1.703,916,3.16
1.720,910,3.62
1.737,909,3.21
1.754,899,3.16
1.770,892,3.26
1.786,891,3.32
1.804,890,3.77
1.820,886,3.26
1.837,884,3.42
1.853,882,3.47
1.870,877,3.93
1.887,890,3.57
1.903,902,4.23
1.920,903,4.39
1.937,902,4.08
1.953,901,4.03
1.970,900,4.18
1.986,900,4.23
2.003,899,4.28
2.020,899,4.59
2.036,898,4.34
2.053,897,4.74
2.070,898,4.74
2.086,897,4.66
2.103,897,4.79
2.119,897,4.39
2.137,896,4.39
2.153,898,4.28
2.169,899,4.40
2.186,898,4.39
2.203,896,4.39
2.220,896,4.28
2.236,896,4.79
2.252,897,4.85
2.270,898,4.44
2.286,895,4.34
2.302,895,4.44
2.319,894,4.51
2.336,894,4.49
2.353,896,4.44
2.369,893,4.59
2.385,893,4.59
2.403,893,4.64
2.419,894,5.00
2.436,891,5.10
2.452,889,5.15
2.469,890,5.20
2.486,890,5.10
2.502,889,5.20
2.519,889,4.85
2.536,888,4.95
2.552,885,4.95
2.569,883,5.56
2.585,883,5.66
2.603,881,5.30
2.619,879,5.25
2.635,879,5.87
2.652,878,5.92
2.669,874,5.97
2.685,872,5.66
2.702,868,6.38
2.718,865,6.53
2.736,861,6.12
2.752,860,6.63
2.768,859,6.78
2.785,857,6.89
2.802,855,6.83
2.819,853,6.48
2.835,854,6.63
2.851,852,6.68
2.869,852,7.09
2.885,849,7.14
2.902,848,7.29
2.918,848,7.34
2.935,847,7.24
2.952,845,7.29
2.968,845,7.04
2.984,843,7.50
3.002,842,7.91
3.018,840,7.55
3.035,837,8.11
3.051,836,7.80
3.068,834,7.75
3.085,834,7.40
3.101,831,7.96
3.118,823,8.01
3.135,823,8.36
3.151,821,8.04
3.168,819,8.21
3.184,817,8.26
3.202,816,8.21
3.218,814,8.59
3.234,813,8.74
3.251,810,8.84
3.268,805,8.43
3.284,805,8.48
3.301,802,8.64
3.317,801,9.15
3.335,799,9.08
3.351,798,9.15
3.367,797,9.30
3.384,796,8.94
3.401,794,8.89
3.418,793,8.99
3.434,792,9.55
3.450,790,9.66
3.468,788,9.25
3.484,787,9.30
3.501,782,9.50
3.517,781,9.91
3.534,779,10.01
3.552,776,9.71
3.568,773,9.91
3.585,770,10.32
3.603,767,10.46
3.620,767,10.10
3.638,763,10.27
3.655,763,10.66
3.674,760,10.73
3.691,760,10.86
3.708,758,10.88
3.727,757,10.83
3.744,757,10.46
3.762,756,10.63
3.779,754,10.68
3.798,752,10.63
3.815,750,10.73
3.832,748,11.32
3.850,747,10.88
3.868,747,10.93
3.886,744,10.98
3.903,745,11.14
3.920,740,11.59
3.939,738,11.70
3.956,737,11.44
3.974,736,11.90
3.992,735,11.37
4.009,733,11.42
4.027,735,12.00
4.044,733,11.49
4.063,733,11.54
4.080,731,11.95
4.098,732,11.75
4.115,728,11.68
4.133,726,11.78
4.151,724,11.85
4.168,724,11.99
4.186,722,11.99
4.204,718,12.09
4.221,718,12.31
4.239,712,12.41
4.257,710,12.87
4.275,705,12.67
4.292,702,12.92
4.310,696,13.02
4.328,691,13.63
4.345,687,13.84
4.363,685,13.69
4.380,683,13.69
4.399,680,13.74
4.416,680,13.77
4.433,679,13.84
4.451,679,13.82
4.469,678,13.84
4.487,678,13.84
4.504,678,13.82
4.523,677,13.82
4.540,677,13.82
4.557,678,13.94
4.575,677,13.82
4.593,677,13.87
4.611,676,13.89
4.628,676,13.99
4.645,676,13.89
4.664,675,13.92
4.681,674,13.92
4.699,672,14.08
4.716,672,13.99
4.734,671,14.03
4.752,669,14.08
4.769,664,14.48
4.787,661,14.59
4.805,662,14.23
4.823,661,14.43
4.840,660,14.43
4.858,662,14.89
4.876,653,14.59
4.893,651,14.76
4.911,649,14.69
4.929,649,14.79
4.946,642,15.27
4.964,636,14.94
4.981,600,15.05
5.000,640,15.15
5.017,641,15.71
5.035,641,15.40
5.052,640,15.52
5.070,638,15.61
5.088,638,15.81
5.105,637,15.81
5.124,638,15.91
5.141,634,16.03
5.158,632,16.17
5.176,631,16.27
5.194,628,16.37
5.212,628,16.47
5.229,624,17.03
5.246,621,17.14
5.265,619,16.90
5.282,617,17.44
5.300,614,17.14
5.317,612,17.65
5.336,611,17.29
5.353,609,17.39
5.370,609,17.44
5.389,609,17.49
5.406,607,17.54
5.424,607,17.54
5.441,608,17.54
5.459,608,17.54
5.477,608,17.54
5.494,608,17.54
5.512,607,17.56
5.530,608,17.54
5.548,607,17.56
5.565,608,17.54
5.582,608,17.60
5.601,606,17.60
5.618,606,17.49
5.636,607,17.65
5.654,605,17.65
5.671,606,17.70
5.689,604,17.71
5.706,604,18.16
5.725,604,17.75
5.742,604,18.16
5.760,603,17.75
5.777,603,17.75
5.795,605,17.75
5.813,604,18.11
5.830,604,17.71
5.848,605,18.05
5.866,606,18.07
5.883,605,17.95
5.901,605,18.07
5.918,606,18.05
5.937,604,18.05
5.954,605,18.05
5.971,606,18.05
5.990,606,18.05
6.007,606,18.46
6.025,607,18.46
6.042,607,18.02
6.061,607,18.00
6.078,607,18.00
6.095,607,18.46
6.113,607,18.51
6.131,606,18.16
6.149,603,18.11
6.166,602,18.31
6.183,599,18.46
6.202,594,19.13
6.219,586,19.79
6.237,579,20.91
6.255,576,20.20
6.273,575,20.23
6.290,576,20.71
6.307,577,21.15
