time,intensity,distance
0.001,905,2.35
0.002,905,2.40
0.007,903,2.75
0.023,902,2.24
0.039,904,2.35
0.056,903,2.40
0.073,903,2.40
0.090,903,2.30
0.106,903,2.40
0.122,902,2.35
0.140,903,2.40
0.156,902,2.24
0.173,903,2.35
0.189,902,2.35
0.206,904,2.40
0.223,903,2.30
0.239,903,2.40
0.256,901,2.40
0.273,902,2.41
0.289,903,2.30
0.306,904,2.40
0.322,903,2.35
0.339,904,2.40
0.356,902,2.24
0.372,902,2.40
0.389,903,2.41
0.406,902,2.40
0.422,902,2.24
0.439,903,2.40
0.455,903,2.40
0.473,902,2.40
0.489,902,2.30
0.505,901,2.36
0.522,901,2.40
0.539,903,2.35
0.556,904,2.30
0.572,902,2.36
0.588,903,2.40
0.606,902,2.35
0.622,902,2.24
0.638,902,2.40
0.655,902,2.40
0.672,902,2.35
0.689,904,2.24
0.705,905,2.40
0.721,902,2.35
0.739,904,2.35
0.755,903,2.24
0.772,902,2.35
0.788,903,2.35
0.805,905,2.35
0.822,902,2.24
0.838,903,2.35
0.855,904,2.35
0.872,902,2.35
0.888,903,2.24
0.905,905,2.35
0.921,903,2.35
0.939,905,2.35
0.955,905,2.24
0.971,904,2.35
0.988,904,2.35
1.005,904,2.35
1.021,903,2.24
1.038,903,2.35
1.054,903,2.35
1.072,903,2.35
1.088,904,2.24
1.104,903,2.36
1.121,904,2.35
1.138,904,2.35
1.155,905,2.24
1.171,904,2.35
1.187,906,2.36
1.205,904,2.35
1.221,904,2.24
1.238,904,2.35
1.254,904,2.35
1.271,905,2.36
1.288,905,2.24
1.304,906,2.35
1.320,903,2.36
1.338,904,2.35
1.354,902,2.24
1.371,904,2.35
1.387,904,2.35
1.404,904,2.35
1.421,904,2.24
1.437,903,2.35
1.454,903,2.35
1.471,902,2.36
1.487,902,2.30
1.504,902,2.40
1.520,902,2.40
1.538,901,2.41
1.554,901,2.30
1.570,901,2.40
1.587,900,2.40
1.604,901,2.40
1.620,901,2.30
1.637,903,2.40
1.653,903,2.40
1.671,904,2.41
1.687,903,2.24
1.703,902,2.35
1.720,903,2.35
1.737,903,2.35
1.754,903,2.24
1.770,903,2.35
1.786,903,2.40
1.804,902,2.40
1.820,901,2.30
1.837,901,2.45
1.853,898,2.45
1.870,896,2.45
1.887,898,2.35
1.903,898,2.45
1.920,899,2.45
1.937,900,2.40
1.953,900,2.30
1.970,899,2.40
1.986,900,2.40
2.003,900,2.41
2.020,902,2.30
2.036,905,2.35
2.053,904,2.35
2.070,907,2.31
2.086,908,2.19
2.103,909,2.65
2.119,909,2.24
2.137,909,2.24
2.153,909,2.14
2.169,910,2.24
2.186,911,2.24
2.203,909,2.24
2.220,909,2.60
2.236,908,2.30
2.252,907,2.30
2.270,907,2.30
2.286,907,2.19
2.302,908,2.65
2.319,911,2.24
2.336,910,2.24
2.353,912,2.57
2.369,912,2.19
2.385,912,2.21
2.403,911,2.19
2.419,911,2.09
2.436,911,2.19
2.452,911,2.60
2.469,910,2.65
2.486,913,2.55
2.502,912,2.65
2.519,910,2.65
2.536,912,2.60
2.552,911,2.09
2.569,913,2.19
2.585,913,2.55
2.603,915,2.14
2.619,914,2.45
2.635,914,2.14
2.652,912,2.55
2.669,911,2.19
2.685,911,2.50
2.702,909,2.24
2.718,909,2.24
2.736,908,2.65
2.752,908,2.60
2.768,908,2.70
2.785,908,2.70
2.802,908,2.24
2.819,910,2.14
2.835,911,2.24
2.851,910,2.65
2.869,911,2.19
2.885,911,2.09
2.902,911,2.19
2.918,911,2.60
2.935,913,2.60
2.952,913,2.50
2.968,913,2.55
2.984,913,2.55
3.002,912,2.55
3.018,913,2.45
3.035,913,2.60
3.051,915,2.60
3.068,913,2.60
3.085,914,2.09
3.101,912,2.24
3.118,912,2.35
3.135,910,1.99
3.151,909,1.94
3.168,906,2.45
3.184,904,2.09
3.202,904,2.09
3.218,904,2.45
3.234,904,2.14
3.251,904,2.60
3.268,901,2.24
3.284,899,2.58
3.301,898,2.40
3.317,896,2.47
3.335,894,2.55
3.351,895,2.96
3.367,893,3.16
3.384,890,2.86
3.401,888,3.37
3.418,885,3.37
3.434,882,3.57
3.450,879,3.26
3.468,875,3.77
3.484,871,3.72
3.501,867,3.88
3.517,863,3.52
3.534,864,3.57
3.551,860,3.52
3.567,860,3.67
3.584,857,3.72
3.601,854,3.83
3.617,852,3.83
3.634,850,4.03
3.650,849,4.18
3.667,844,4.34
3.684,841,4.34
3.700,836,4.13
3.717,834,4.64
3.734,832,4.69
3.750,830,4.64
3.767,828,4.79
3.783,828,4.44
3.801,828,4.44
3.817,825,4.39
3.833,825,4.49
3.850,826,4.49
3.867,823,4.54
3.884,821,4.49
3.900,818,4.64
3.916,815,5.10
3.934,813,5.20
3.950,810,5.15
3.966,807,4.95
3.983,805,5.46
4.000,799,5.56
4.017,797,5.56
4.033,791,5.36
4.049,788,5.87
4.067,785,5.87
4.083,781,5.92
4.100,779,6.07
4.116,778,6.07
4.133,778,5.58
4.150,778,5.56
4.166,779,5.66
4.183,779,5.66
4.200,779,5.58
4.216,779,5.56
4.233,781,6.02
4.249,780,6.02
4.267,781,5.92
4.283,781,5.92
4.299,782,6.02
4.316,783,5.97
4.333,784,5.87
4.349,783,5.87
4.366,784,5.97
4.382,786,5.97
4.400,785,5.87
4.416,784,5.87
4.432,785,5.97
4.449,786,5.97
4.466,786,5.87
4.483,785,5.87
4.499,787,6.02
4.515,785,6.02
4.533,786,5.90
4.549,785,5.97
4.566,784,6.07
4.582,782,6.12
4.599,783,6.07
4.616,781,6.12
4.632,779,6.73
4.648,777,7.63
4.666,776,8.38
4.682,772,10.30
4.700,769,8.16
4.716,766,7.84
4.733,762,7.85
4.750,759,8.30
4.766,757,8.52
4.783,756,8.52
4.800,755,8.40
4.816,753,9.61
4.833,753,77.13
4.850,751,12.39
4.869,750,9.89
4.885,751,8.64
4.901,748,8.45
4.918,749,8.06
4.935,746,7.94
4.952,747,7.94
4.968,746,8.04
4.984,747,7.99
5.002,745,7.48
5.018,746,7.48
5.035,747,7.58
5.051,747,7.60
5.068,745,7.09
5.085,744,7.45
5.101,743,7.14
5.117,742,7.14
5.135,742,7.04
5.151,742,7.02
5.168,742,7.12
5.184,743,7.07
5.201,742,6.97
5.218,743,6.99
5.234,742,7.07
5.251,746,7.07
5.268,744,6.92
5.284,746,6.94
5.301,746,7.04
5.317,747,7.04
5.335,746,6.94
5.351,748,6.94
5.367,747,7.02
5.384,748,7.04
5.401,748,6.94
5.417,746,6.94
5.434,748,7.04
5.450,746,7.04
5.468,748,6.92
5.484,747,6.92
5.500,746,7.04
5.517,748,7.02
5.534,745,6.92
5.551,748,6.94
5.567,745,7.04
5.583,746,7.04
5.601,745,6.94
5.617,745,6.92
5.634,745,7.04
5.650,744,7.02
5.667,743,6.99
5.684,743,6.99
5.700,742,7.07
5.716,743,7.07
5.734,741,6.99
5.750,740,6.99
5.767,741,7.14
5.783,740,7.14
5.800,739,7.07
5.817,738,7.12
5.833,738,7.24
5.850,734,7.29
5.867,731,7.24
5.883,729,6.89
5.900,728,7.40
5.916,728,7.04
5.934,726,6.94
5.950,724,6.99
5.966,725,7.55
5.983,725,7.53
6.000,725,7.50
6.017,723,7.48
6.033,722,7.65
6.049,722,7.68
6.067,722,7.60
6.083,722,7.65
6.099,721,7.75
6.116,721,7.80
6.133,718,7.75
6.150,714,7.85
6.166,711,8.47
6.182,707,8.40
6.200,703,8.40
6.216,704,8.09
6.233,701,8.50
6.249,700,8.25
6.266,698,8.14
6.283,697,8.14
6.299,696,8.31
6.316,696,8.31
6.333,694,8.26
6.349,692,8.26
6.366,690,8.42
6.382,688,8.38
6.400,687,8.36
6.416,687,8.38
6.432,686,8.47
6.449,685,8.42
6.466,686,8.38
6.482,687,8.72
6.499,685,8.48
6.515,683,8.53
6.533,682,8.82
6.549,681,8.94
6.565,679,9.10
6.582,676,9.04
6.599,676,9.10
6.616,671,9.13
6.632,670,8.89
6.648,666,8.84
6.666,664,8.94
6.682,663,9.35
6.699,662,9.55
6.715,660,9.50
6.732,658,9.61
6.749,656,9.66
6.765,654,9.81
6.781,653,9.76
6.799,651,10.20
6.816,648,10.30
6.834,647,10.47
6.852,645,10.40
6.870,642,10.47
6.887,642,10.17
6.904,640,10.15
6.923,639,10.10
6.940,640,10.10
6.958,637,10.22
6.975,637,10.25
6.993,635,10.20
7.011,632,10.25
7.028,630,10.40
7.046,629,10.37
7.064,626,10.40
7.081,624,10.46
7.099,623,10.61
7.116,622,10.51
7.135,621,10.51
7.152,621,10.63
7.170,621,10.61
7.188,621,10.56
7.205,621,10.51
7.223,621,10.61
7.240,621,10.68
7.259,621,10.56
7.276,620,10.61
7.293,619,10.73
7.311,618,11.07
7.329,618,11.12
7.347,616,11.17
7.364,614,11.34
7.382,612,10.88
7.400,610,10.91
7.417,610,11.03
7.435,610,11.07
7.453,608,10.98
7.471,609,10.98
7.488,607,11.07
7.505,607,11.08
7.524,607,10.97
7.541,607,11.37
7.559,606,11.12
7.576,604,11.42
7.595,603,11.48
7.612,602,11.48
7.629,602,11.63
7.647,600,11.58
7.665,599,11.58
7.683,599,11.73
7.700,599,11.73
7.718,598,11.70
7.736,598,11.71
7.753,598,11.83
7.771,596,12.19
7.789,597,11.80
7.806,594,11.83
7.824,593,11.95
7.841,592,11.88
7.860,590,11.88
7.877,590,11.93
7.895,589,12.05
7.912,589,11.93
7.930,588,11.93
7.948,589,12.34
7.965,588,12.04
7.984,588,12.36
8.001,589,12.41
8.018,590,12.50
8.036,588,12.80
8.054,587,12.44
8.072,586,12.50
8.089,584,12.24
8.107,581,11.78
8.125,580,11.78
8.142,577,11.83
8.160,576,11.99
8.177,575,11.88
8.196,575,11.88
8.213,577,11.88
8.230,577,11.99
8.248,576,12.29
8.266,575,12.34
8.284,576,12.44
8.301,576,12.77
8.320,576,12.80
8.337,575,12.80
8.354,575,12.92
8.372,576,12.80
8.390,576,12.39
8.408,575,12.39
8.425,575,12.90
8.442,576,12.82
8.461,575,12.80
8.478,575,12.82
8.496,576,12.90
8.513,573,12.46
8.531,574,12.44
8.549,573,12.95
8.566,573,12.90
8.585,573,12.90
8.602,572,12.95
8.620,573,13.11
8.637,572,13.04
8.655,569,13.52
8.673,567,14.43
8.690,562,14.65
8.708,557,13.87
8.726,553,13.57
8.743,548,13.72
8.761,544,13.52
8.778,540,13.11
8.797,538,13.16
8.814,537,13.72
8.832,537,13.67
8.850,536,14.13
8.867,536,14.59
8.885,535,15.59
8.902,534,19.72
8.921,533,29.21
8.938,533,16.68
8.955,530,15.05
8.973,529,15.05
8.991,529,14.64
9.009,531,15.05
9.026,530,15.45
9.043,530,15.45
9.062,530,15.45
9.079,528,15.45
9.097,529,14.99
9.115,526,14.59
9.133,527,14.59
9.150,527,14.69
9.167,528,15.05
9.186,527,15.05
9.203,527,14.57
9.221,528,14.28
9.238,528,14.13
9.256,530,13.72
9.274,529,14.09
9.291,528,13.77
9.309,530,13.67
9.327,530,13.67
9.345,531,13.62
9.362,530,13.21
9.379,532,13.21
9.398,532,13.62
9.415,533,13.72
9.433,533,13.16
9.451,534,13.16
9.468,534,13.11
9.486,533,13.21
9.503,534,13.11
9.522,535,13.06
9.539,535,13.06
9.556,536,13.18
9.574,536,13.06
9.592,536,13.06
9.610,535,13.11
9.627,536,13.21
9.645,536,13.06
9.663,536,13.06
9.680,536,13.18
9.698,538,13.06
9.716,538,13.06
9.734,537,13.09
9.751,537,13.21
9.768,537,13.06
9.787,536,13.06
9.804,538,13.06
9.822,536,13.16
9.839,538,13.06
9.858,536,13.04
9.875,536,13.06
9.892,535,13.16
9.910,536,13.06
9.928,536,13.04
9.946,535,13.16
9.963,535,13.06
9.981,535,13.06
9.999,534,13.06
10.016,536,13.16
10.035,536,13.06
10.054,535,13.06
10.073,535,13.06
10.091,534,13.16
10.109,534,13.06
10.129,535,13.06
10.147,534,13.21
10.166,533,13.12
10.185,534,13.09
10.204,532,13.11
10.222,532,13.26
10.241,532,13.16
10.260,531,13.21
10.278,532,13.36
10.297,531,13.67
10.316,532,13.70
10.335,531,13.72
10.353,529,13.82
10.372,529,13.70
10.391,528,13.36
10.409,527,13.41
10.428,525,13.46
10.447,523,13.52
10.466,521,13.62
10.484,520,13.77
10.503,518,13.77
10.522,517,13.80
10.541,515,13.87
10.559,513,13.92
10.577,512,14.43
10.597,510,14.48
10.615,509,14.23
10.634,509,14.18
10.653,506,14.23
10.672,504,14.28
10.690,503,14.33
10.708,501,14.43
10.728,499,14.54
10.746,497,14.74
10.765,495,14.69
10.784,492,14.84
10.803,488,14.94
10.821,488,14.99
10.840,484,15.05
10.859,483,15.10
10.877,484,15.25
10.896,483,15.15
10.915,484,15.13
10.934,484,15.15
10.952,482,15.15
10.971,482,15.18
10.990,481,15.23
11.009,478,15.30
11.027,477,15.39
11.046,473,15.44
11.065,471,15.50
11.083,472,15.54
11.102,469,15.61
11.121,468,15.66
11.140,467,15.71
11.158,466,16.12
11.176,465,15.74
11.196,464,15.81
11.214,463,15.96
11.233,464,15.91
11.252,460,15.96
11.271,461,16.01
11.289,458,16.12
11.308,457,16.17
11.327,455,16.25
11.345,452,16.46
11.364,450,16.47
11.383,450,16.93
11.402,448,17.07
11.420,446,17.19
11.439,443,17.27
11.458,442,17.80
11.476,440,17.54
11.495,435,18.09
11.514,432,18.21
11.533,431,18.29
11.551,430,18.82
11.570,429,18.80
11.589,429,18.85
11.608,428,18.72
11.626,429,18.82
11.645,428,18.04
11.664,427,18.05
11.682,427,18.05
11.701,428,18.04
11.720,428,18.04
11.739,427,18.04
11.757,427,18.05
11.776,426,18.45
11.795,428,18.50
11.813,427,18.50
11.832,425,18.51
11.851,425,18.56
11.870,424,18.62
11.888,423,18.65
11.907,421,18.75
11.926,419,18.39
11.944,419,18.45
11.963,418,18.50
11.982,416,18.55
12.001,415,19.02
12.019,415,19.11
12.038,413,19.18
12.057,411,19.28
12.076,410,19.38
12.094,408,19.87
12.113,407,19.99
12.132,404,19.67
12.150,404,19.72
12.169,402,19.77
12.188,402,19.77
12.207,401,19.72
12.225,400,20.23
12.244,401,20.28
12.263,400,20.28
12.281,400,20.38
12.300,400,20.43
12.319,398,20.48
12.338,395,20.03
12.356,393,20.60
12.375,392,20.69
12.394,391,20.81
12.412,389,20.86
12.431,389,20.93
12.450,389,20.94
12.469,387,20.89
12.487,387,21.40
12.506,387,21.05
12.525,386,21.40
12.544,384,21.20
12.562,383,21.25
12.581,382,21.37
12.600,379,21.35
12.618,379,21.10
12.637,376,20.81
12.656,374,20.89
12.675,373,21.35
12.693,371,21.45
12.712,370,21.56
12.731,368,21.56
12.749,366,21.76
12.768,368,22.22
12.787,366,22.61
12.806,364,23.07
12.824,364,23.24
12.844,362,23.29
12.862,362,23.24
12.880,361,23.39
12.899,360,23.04
12.918,359,23.43
12.937,357,23.49
12.955,355,23.24
12.974,354,23.29
12.993,354,23.68
13.011,353,23.38
13.030,351,23.44
13.049,349,24.21
13.068,349,24.19
13.086,349,25.14
13.105,350,24.75
13.124,350,25.07
13.143,350,26.30
13.161,349,26.72
13.180,348,27.52
13.199,349,26.32
13.217,347,25.36
13.236,347,24.14
13.255,346,24.50
13.274,344,24.67
13.292,342,25.59
13.312,339,26.37
13.330,337,23.68
13.348,335,23.90
13.367,333,23.14
13.386,332,23.48
13.405,332,23.17
13.423,331,23.70
13.443,330,23.75
13.461,331,24.09
13.479,332,24.26
13.498,331,25.53
13.517,331,49.35
13.536,331,50.24
13.554,331,50.25
13.573,331,49.03
13.592,329,28.31
13.611,330,27.18
13.629,330,26.78
13.648,329,27.52
13.667,329,50.54
13.685,327,51.12
13.704,327,48.77
13.723,326,51.00
13.742,325,25.96
13.760,324,25.96
13.779,323,25.84
13.798,322,26.32
13.816,322,27.34
13.835,322,27.29
13.854,321,26.10
13.873,320,25.94
13.891,321,25.57
13.911,320,25.86
13.929,320,26.21
13.947,319,28.85
13.966,317,30.07
13.985,319,50.56
14.004,317,50.22
14.022,316,52.87
14.042,315,53.84
14.060,316,51.00
14.078,314,50.61
14.097,314,50.24
14.116,314,50.22
14.135,315,51.48
14.153,315,50.20
14.172,315,49.81
14.191,315,49.79
14.210,314,49.91
14.228,314,49.83
14.247,315,49.84
14.266,314,49.84
14.284,314,50.37
14.303,313,53.91
14.322,312,51.53
14.341,312,51.63
14.359,311,31.77
14.379,309,51.53
14.397,308,27.74
14.415,309,26.61
14.434,307,26.21
14.453,309,26.57
14.472,308,26.27
14.490,308,26.27
14.510,308,26.62
14.528,307,26.27
14.546,305,26.83
14.565,305,26.93
14.584,304,26.47
14.603,303,26.93
14.621,303,26.21
14.641,302,26.20
14.659,302,26.21
14.678,302,26.78
14.696,302,26.81
14.715,302,26.72
14.734,302,26.72
14.752,301,26.83
14.771,301,26.72
14.790,302,27.13
14.809,301,27.69
14.827,300,27.29
14.846,300,27.22
14.865,299,26.91
14.883,299,26.66
14.902,298,27.49
14.921,297,27.57
14.940,296,27.39
14.958,293,27.47
14.978,292,27.42
14.996,292,27.93
15.014,291,28.08
15.033,291,28.88
15.052,290,28.93
15.071,289,28.24
15.089,289,28.71
15.109,287,27.81
15.127,287,28.29
15.145,287,29.32
15.164,286,29.27
15.183,285,29.34
15.202,286,30.28
15.220,284,29.90
15.240,283,28.70
15.258,283,30.01
15.277,283,29.72
15.295,282,30.53
15.314,281,29.72
15.333,282,29.77
15.351,281,30.63
15.370,280,29.41
15.389,279,29.48
15.408,277,29.21
15.426,277,30.02
15.446,276,29.67
15.464,274,29.38
15.482,274,29.51
15.501,272,29.51
15.520,272,30.02
15.539,270,30.67
15.557,268,29.82
15.577,267,29.48
15.595,267,30.40
15.613,265,29.72
15.632,265,30.55
15.651,263,30.23
15.670,262,29.56
15.688,262,29.51
15.708,261,30.01
15.726,260,30.89
15.745,260,31.43
15.763,259,30.53
15.782,259,30.58
15.801,259,31.45
15.819,258,30.69
15.839,258,30.72
15.857,256,31.23
15.876,256,31.86
15.894,255,31.38
15.913,254,31.04
15.932,253,31.96
15.950,251,31.20
15.969,252,32.13
15.988,250,31.35
16.007,249,31.55
16.025,249,30.69
16.045,247,31.59
16.063,246,31.23
16.081,246,32.15
16.100,244,31.76
16.119,244,32.27
16.138,243,31.54
16.156,244,31.45
16.176,243,31.91
16.194,243,31.50
16.212,242,31.25
16.231,241,31.21
16.250,241,32.11
16.269,240,31.86
16.287,239,31.86
16.307,237,31.96
16.325,238,31.60
16.344,237,32.11
16.362,236,32.22
16.381,235,32.30
16.400,235,33.22
16.418,234,32.01
16.438,234,32.45
16.456,234,32.47
16.475,234,32.15
16.493,234,32.10
16.513,235,32.57
16.531,233,32.20
16.549,235,32.27
16.568,234,31.91
16.587,233,31.96
16.606,233,32.11
16.624,233,32.06
16.644,232,32.11
16.662,232,32.16
16.680,232,32.62
16.699,231,32.27
16.718,231,32.32
16.737,230,32.47
16.755,230,32.88
16.775,229,32.95
16.793,230,32.56
16.812,228,33.03
16.830,228,33.42
16.849,229,33.75
16.868,228,32.93
16.886,229,32.83
16.906,228,32.40
