time,intensity,distance
0.001,562,0.15
0.002,560,5.66
0.007,561,5.56
0.023,560,5.56
0.039,559,5.66
0.056,557,5.66
0.073,556,5.61
0.090,557,5.56
0.106,555,5.66
0.122,552,5.71
0.140,550,5.66
0.156,547,5.66
0.173,544,5.76
0.189,545,5.76
0.206,543,5.66
0.223,544,5.71
0.239,545,5.76
0.256,545,5.76
0.273,545,5.66
0.289,545,5.66
0.306,544,5.81
0.322,545,5.81
0.339,543,5.71
0.356,542,5.76
0.372,539,6.38
0.389,540,6.38
0.406,541,6.32
0.422,541,6.38
0.439,541,6.48
0.455,542,6.48
0.473,542,6.38
0.489,543,6.43
0.505,543,6.51
0.522,544,6.53
0.539,543,6.07
0.556,539,6.12
0.572,537,6.68
0.588,538,6.68
0.606,538,6.58
0.622,539,6.63
0.638,538,6.78
0.655,533,6.89
0.672,529,6.83
0.689,527,6.48
0.705,527,6.63
0.721,526,7.09
0.739,524,6.97
0.755,523,7.02
0.772,521,7.24
0.788,519,7.29
0.805,517,6.87
0.822,511,6.99
0.838,504,7.63
0.855,498,7.80
0.872,492,7.85
0.888,488,7.96
0.905,484,8.16
0.921,479,7.85
0.939,475,8.26
0.955,472,8.30
0.971,472,8.47
0.988,469,8.45
1.005,469,8.36
1.021,467,8.40
1.038,463,8.48
1.054,463,8.25
1.072,464,8.43
1.088,463,8.16
1.104,465,8.26
1.121,463,8.26
1.138,465,8.14
1.155,465,8.42
1.171,463,8.64
1.187,459,9.15
1.205,457,8.74
1.221,450,8.89
1.238,444,9.55
1.254,439,9.64
1.271,435,9.23
1.288,435,9.71
1.304,434,9.81
1.320,436,9.76
1.338,434,9.71
1.354,434,9.69
1.371,435,9.79
1.387,435,9.74
1.404,437,9.64
1.421,438,9.64
1.437,437,9.33
1.454,437,9.33
1.471,436,9.23
1.487,438,9.25
1.504,436,9.33
1.520,437,9.35
1.538,435,9.23
1.554,435,9.25
1.570,435,9.81
1.587,434,9.74
1.604,431,9.69
1.620,430,10.25
1.638,423,10.12
1.655,416,10.20
1.674,405,10.47
1.691,395,11.08
1.709,386,10.63
1.727,379,11.08
1.744,375,11.17
1.762,374,11.75
1.779,375,11.65
1.798,376,12.04
1.815,375,12.50
1.832,375,13.06
1.850,371,11.78
1.868,369,11.88
1.886,366,12.41
1.903,363,12.16
1.921,360,11.70
1.939,359,11.68
1.956,360,11.68
1.974,360,11.78
1.991,360,11.70
2.010,360,11.68
2.027,360,12.19
2.044,360,12.04
2.063,360,12.04
2.080,358,11.73
2.098,354,11.95
2.115,348,11.99
2.134,345,12.04
2.151,344,12.05
2.168,343,11.80
2.186,343,11.70
2.204,343,11.68
2.222,344,12.09
2.239,343,12.19
2.256,343,12.09
2.275,344,12.09
2.292,342,12.21
2.310,341,11.85
2.328,338,11.85
2.345,333,12.39
2.363,332,12.16
2.380,329,12.09
2.399,328,12.56
2.416,328,12.16
2.434,329,12.31
2.451,326,12.26
2.469,323,12.75
2.487,319,12.87
2.504,317,12.65
2.522,314,12.61
2.540,315,12.60
2.557,314,12.75
2.575,314,12.67
2.593,313,12.67
2.611,315,12.61
2.628,314,13.18
2.646,314,12.67
2.664,313,13.06
2.681,314,12.65
2.699,313,13.18
2.716,313,12.65
2.735,312,12.72
2.752,309,12.82
2.769,305,13.01
2.787,302,12.97
2.805,301,13.02
2.823,299,12.61
2.840,299,13.07
2.859,298,13.12
2.876,296,13.62
2.893,295,13.79
2.911,293,13.77
2.929,291,13.82
2.947,288,13.97
2.964,284,14.64
2.981,281,13.87
3.000,279,14.03
3.017,274,14.18
3.035,271,14.33
3.052,267,14.59
3.070,261,15.20
3.088,258,15.86
3.105,254,15.61
3.123,250,15.76
3.141,247,15.86
3.159,245,16.06
3.176,245,16.01
3.194,243,16.06
3.212,243,16.57
3.229,241,16.68
3.247,239,16.32
3.265,237,16.42
3.282,237,16.47
3.300,234,16.98
3.317,234,17.05
3.336,231,16.73
3.353,230,16.78
3.371,229,16.88
3.388,228,17.44
3.406,226,16.73
3.424,223,16.83
3.441,220,17.03
3.460,217,17.19
3.477,214,17.34
3.494,213,17.49
3.512,210,18.05
3.530,209,18.16
