time,intensity,distance
5.281,575,5.81
5.298,575,5.92
5.314,569,5.97
5.331,562,5.97
5.348,559,6.02
5.364,557,6.12
5.381,556,6.14
5.398,557,6.02
5.414,556,6.02
5.431,559,6.12
5.447,558,6.12
5.465,559,6.02
5.481,560,6.02
5.497,560,6.09
5.514,562,6.07
5.531,561,5.97
5.548,562,5.97
5.564,563,6.07
5.580,564,6.07
5.598,564,5.97
5.614,565,5.97
5.630,564,6.07
5.647,566,6.48
5.664,568,6.32
5.681,571,6.32
5.697,570,6.83
5.713,572,7.24
5.731,570,7.14
5.747,570,6.73
5.764,568,6.43
5.780,568,6.48
5.797,567,5.97
5.814,564,5.97
5.830,563,6.07
5.847,562,6.07
5.864,563,5.97
5.880,562,5.97
5.897,563,6.07
5.913,564,6.07
5.931,564,5.97
5.947,564,5.97
5.963,565,6.07
5.980,565,6.07
5.997,564,5.97
6.013,562,6.02
6.030,560,5.71
6.046,557,6.12
6.064,558,5.66
6.080,556,5.66
6.096,556,5.76
6.113,556,5.76
6.130,556,5.66
6.147,556,5.66
6.163,557,5.76
6.179,556,5.76
6.197,557,5.66
6.213,556,5.71
6.230,554,5.81
6.246,554,5.81
6.263,554,5.71
6.280,553,6.12
6.296,553,6.27
6.312,552,5.87
6.330,553,5.76
6.346,552,5.76
6.363,551,6.32
6.379,546,6.43
6.396,541,6.02
6.413,534,6.48
6.429,528,6.73
6.446,523,6.83
6.463,520,6.41
6.479,517,6.48
6.496,512,6.65
6.512,508,7.14
6.530,506,7.09
6.546,501,7.19
6.562,497,7.34
6.579,493,7.04
6.596,489,7.45
6.612,484,7.53
6.629,480,7.70
6.645,476,7.75
6.663,474,7.74
6.679,473,7.75
6.695,471,7.91
6.712,471,7.85
6.729,471,7.80
6.746,471,7.80
6.762,472,7.91
6.778,471,7.91
6.796,471,7.80
6.812,471,7.85
6.829,469,7.96
6.845,467,8.01
6.862,467,7.96
6.879,463,8.01
6.895,463,8.16
6.912,459,8.21
6.929,457,8.16
6.945,455,8.21
6.962,452,8.36
6.978,449,8.69
6.995,447,8.36
7.012,445,8.40
7.028,443,8.48
7.045,440,8.53
7.062,437,8.48
7.078,435,8.53
7.095,432,9.10
7.111,430,9.20
7.129,426,8.79
7.145,422,8.84
7.161,419,9.04
7.178,415,9.55
7.195,412,9.49
7.212,410,9.59
7.228,406,9.35
7.244,401,9.78
7.262,397,9.91
7.278,392,10.06
7.296,388,9.86
7.312,384,10.27
7.330,380,10.37
7.348,377,10.47
7.365,373,10.27
7.383,370,10.68
7.401,367,10.78
7.418,364,10.93
7.436,362,10.98
7.454,359,10.97
7.472,359,10.98
7.489,355,11.14
7.506,355,11.03
7.525,355,11.08
7.542,352,11.07
7.560,353,11.63
7.577,352,11.54
7.596,353,11.59
7.613,352,11.65
7.630,350,11.85
7.648,349,11.80
7.666,347,11.85
7.684,345,12.00
7.701,345,12.05
7.719,342,12.41
7.737,342,12.46
7.754,339,12.21
7.772,337,12.21
7.790,335,12.29
7.808,331,12.82
7.825,326,12.61
7.842,322,12.60
7.861,320,12.77
7.878,316,12.87
7.896,314,12.67
7.913,312,12.61
7.931,311,12.65
7.949,310,12.77
7.966,308,12.72
7.985,308,13.18
8.002,305,13.23
8.019,304,13.02
8.037,302,12.97
8.055,302,13.02
8.073,299,13.07
