time,intensity,distance
0.001,852,0.10
0.002,851,2.09
0.007,851,2.50
0.023,853,2.45
0.039,854,2.55
0.056,855,2.50
0.073,854,2.50
0.090,855,2.40
0.106,855,2.50
0.122,856,2.50
0.140,856,2.50
0.156,856,2.40
0.173,856,2.52
0.189,858,2.50
0.206,858,2.55
0.223,857,2.45
0.239,857,2.57
0.256,857,2.60
0.273,855,2.60
0.289,855,2.55
0.306,853,2.65
0.322,850,2.70
0.339,850,2.72
0.356,848,2.65
0.372,847,2.36
0.389,846,2.35
0.406,846,2.75
0.422,845,2.65
0.439,844,2.75
0.455,844,2.40
0.473,843,2.40
0.489,843,2.70
0.505,842,2.50
0.522,841,3.01
0.539,838,3.06
0.556,838,2.65
0.572,840,2.81
0.588,832,2.86
0.606,822,3.32
0.622,822,3.26
0.638,818,3.42
0.655,817,3.47
0.672,816,3.57
0.689,819,3.06
0.705,819,3.57
0.721,819,3.62
0.739,817,3.23
0.755,819,3.16
0.772,820,3.32
0.788,820,3.77
0.805,819,3.77
0.822,817,3.72
0.838,817,3.88
0.855,817,3.88
0.872,816,3.88
0.888,815,3.77
0.905,814,3.88
0.921,814,3.83
0.939,814,3.83
0.955,815,3.72
0.971,817,3.77
0.988,818,3.77
1.005,821,3.32
1.021,822,3.21
1.038,822,3.72
1.054,824,3.26
1.072,825,3.26
1.088,825,3.16
1.104,826,3.26
1.121,827,3.67
1.138,825,3.21
1.155,827,3.11
1.171,826,3.21
1.187,828,3.23
1.205,827,3.21
1.221,828,3.13
1.238,828,3.62
1.254,830,3.62
1.271,830,3.16
1.288,830,3.06
1.304,832,3.16
1.320,832,3.16
1.338,832,3.16
1.354,832,3.06
1.371,831,3.16
1.387,832,3.16
1.404,831,3.16
1.421,831,3.11
1.437,831,3.26
1.454,830,3.32
1.471,832,3.32
1.487,832,3.67
1.504,831,3.32
1.520,832,3.32
1.538,834,3.33
1.554,834,3.21
1.570,833,3.33
1.587,833,3.32
1.604,834,3.32
1.620,833,3.21
1.637,831,3.32
1.653,832,3.32
1.671,830,3.32
1.687,824,3.26
1.703,829,3.88
1.720,827,3.52
1.737,824,3.57
1.754,823,3.57
1.770,820,3.72
1.786,805,3.83
1.804,793,4.03
1.820,791,4.59
1.837,785,4.59
1.853,779,4.95
1.870,771,5.36
1.887,769,5.61
1.903,764,6.48
1.920,757,6.78
1.937,749,6.58
1.953,742,6.89
1.970,737,7.65
1.986,733,7.45
2.003,730,7.96
2.020,727,7.75
2.036,725,8.72
2.053,723,8.53
2.070,721,8.53
2.086,718,8.72
2.103,715,8.59
2.119,712,9.55
2.137,709,9.20
2.153,707,9.25
2.169,704,8.98
2.186,703,9.40
2.203,702,9.35
2.220,701,9.40
2.236,700,9.50
2.252,698,9.50
2.270,697,9.86
2.286,695,9.91
2.302,695,10.03
2.320,693,9.96
2.337,691,9.61
2.354,662,9.66
2.370,665,9.84
2.386,662,10.32
2.405,648,9.71
2.421,641,10.73
2.439,637,10.68
2.456,631,11.29
2.475,625,11.54
2.492,620,11.49
2.509,614,11.44
2.528,609,12.05
2.545,602,12.82
2.563,594,13.33
2.580,588,13.21
2.598,579,13.63
2.616,586,14.03
2.633,578,14.08
