time,potValue,range
88367,1023,244
88567,1023,244
88768,1023,244
88970,1023,244
89170,1023,244
89371,1023,245
89572,1023,245
89773,1023,244
89974,1023,245
90175,1023,245
90376,1023,245
90576,1023,245
90777,1023,245
90978,1023,245
91180,1023,245
91380,1023,245
91581,1023,245
91782,1023,245
91982,1023,245
92183,1023,245
92385,1023,245
92585,1023,245
92786,1023,245
92987,1023,245
93188,1023,245
93388,1023,245
93590,1023,245
93791,1023,245
93991,1023,245
94192,1023,245
94393,1023,245
94595,1023,245
94795,1023,245
94996,1023,245
95197,1023,245
95397,1023,245
95598,1023,245
95800,1023,245
96001,1023,245
96201,1023,245
96402,1023,245
96603,1023,245
96803,1023,245
97005,1023,245
97206,1023,245
97406,1023,245
97607,1023,245
97808,1023,245
98010,1023,245
98210,1023,245
98411,1023,245
98612,1023,246
98812,1023,245
99013,1023,246
99215,1023,246
99416,1023,245
99616,1023,246
99817,1023,246
100018,1023,246
100219,1023,245
100420,1023,246
100621,1023,246
100822,1023,246
101022,1023,246
101224,1023,246
101425,1023,246
101625,1023,246
101826,1023,246
102027,1023,246
102228,1023,246
102429,1023,246
102630,1023,246
102831,1023,246
103032,1023,246
103233,1023,246
103434,1023,246
103634,1023,245
103835,1023,246
104037,1023,246
104238,1023,246
104438,1023,246
104639,1023,246
104840,1023,246
105041,1023,246
105242,1023,246
105443,1023,245
105644,1023,246
105845,1023,246
106046,1023,246
106247,1023,245
106447,1023,245
106648,1023,246
106850,1023,246
107051,1023,246
107251,1023,246
107452,1023,246
107654,1023,246
107854,1023,246
108055,1023,246
108256,1023,246
108456,1023,246
108658,1023,246
108859,1023,246
109060,1023,246
109260,1023,246
109461,1023,246
109663,1023,246
109863,1023,246
110064,1023,246
110265,1023,246
110467,1023,246
110667,1023,246
110868,1023,246
111069,1023,246
111269,1023,246
111471,1023,246
111672,1023,246
111873,1023,246
112073,1023,246
112275,1023,246
112476,1023,246
112676,1023,246
112877,1023,246
113078,1023,246
113280,1023,246
113480,1023,246
113681,1023,246
113882,1023,246
114082,1023,246
114284,1023,246
114485,1023,246
114685,1023,246
114886,1023,246
115088,1023,246
115289,1023,246
115489,1023,246
115690,1023,246
115891,1023,246
116092,1023,246
116293,1023,246
116494,1023,246
116695,1023,246
116896,1023,246
117097,1023,246
117298,1023,246
117498,1023,246
117699,1023,246
117901,1023,246
118102,1023,246
118302,1023,246
118503,1023,246
118704,1023,246
118905,1023,246
119106,1023,246
119307,1023,246
119507,1023,246
119709,1023,246
119910,1023,246
120111,1023,246
120311,1023,246
120512,1023,246
120714,1023,246
120914,1023,246
121115,1023,246
121316,1023,246
121518,1023,246
121718,1023,246
121919,1023,246
122120,1023,246
122320,1023,246
122522,1023,246
122723,1023,246
122924,1023,246
123124,1023,247
123325,1023,246
123527,1023,246
123727,1023,246
123928,1023,246
124129,1023,246
124331,1023,247
124531,1023,246
124732,1023,247
124933,1023,247
125133,1023,246
125335,1023,247
125536,1023,246
125736,1023,247
125937,1023,246
126139,1023,247
126340,1023,247
126540,1023,246
126741,1023,247
126942,1023,246
127143,1023,247
127344,1023,246
127545,1023,247
127746,1023,247
127946,1023,247
128148,1023,247
128349,1023,247
128549,1023,247
128750,1023,247
128952,1023,247
