time,signal
3251336,1022
3265896,1022
3280452,0
3291896,0
3303332,1022
3317892,1022
3332456,1022
3347016,0
3358456,0
3369896,1022
3384452,1022
3399012,1022
3413576,0
3425016,0
3436452,1022
3451016,1022
3465572,1022
3480136,0
3491572,0
3503012,1022
3517572,1022
3532136,1022
3546696,0
3558136,0
3569572,1022
3584136,1022
3598692,1022
3613252,0
3624696,0
3636136,1022
3650696,1022
3665256,1022
3679816,0
3691256,0
3702696,1022
3717256,1022
3731816,1022
3746376,0
3757816,0
3769256,1022
3783816,1022
3798376,1022
3812932,0
3824376,0
3835816,1022
3850376,1022
3864936,1022
3879492,0
3890936,0
3902372,1022
3916932,1022
3931496,1022
3946056,0
3957492,0
3968936,1022
3983496,1022
3998056,1022
4012616,0
4024056,0
4035496,1022
4050056,1022
4064612,1022
4079176,0
4090616,0
4102056,1022
4116616,1022
4131176,1022
4145732,0
4157172,0
4168616,1022
4183176,1022
4197736,1022
4212292,0
4223736,0
4235176,1022
4249732,1022
4264296,1022
4278856,0
4290296,0
4301736,1022
4316296,1022
4330856,1022
4345416,0
4356856,0
4368296,1022
4382856,1022
4397412,1022
4411972,0
4423416,0
4434856,1022
4449412,1022
4463976,1022
4478536,0
4489972,0
4501416,1022
4515976,1022
4530536,1022
4545096,0
4556532,0
4567976,1022
4582536,1022
4597096,1022
4611656,0
4623096,0
4634536,1022
4649096,1022
4663656,1022
4678216,0
4689656,0
4701096,1022
4715656,1022
4730216,1021
4744772,0
4756216,0
4767656,1022
4782212,1022
4796776,1022
4811336,0
4822776,0
4834216,1022
4848776,1022
4863336,1022
4877896,0
4889336,0
4900776,1022
4915336,1022
4929896,1022
4944452,0
4955896,0
4967336,1022
4981896,1022
4996456,1022
5011016,0
5022456,0
5033896,1022
5048456,1022
5063012,1022
5077576,0
5089016,0
5100456,1022
5115016,1022
5129572,1022
5144136,0
5155572,0
5167012,1022
5181576,1022
5196132,1022
5210696,0
5222132,0
5233576,1022
5248136,1022
5262692,1021
5277256,0
5288696,0
5300136,1022
5314692,1022
5329256,1022
5343816,0
5355252,0
5366696,1022
5381252,1022
5395812,1022
5410372,0
5421812,0
5433256,1022
5447816,1022
5462376,1022
5476936,0
5488376,0
5499816,1022
5514372,1022
5528936,1022
5543496,0
5554932,0
5566376,1022
5580936,1022
5595496,1021
5610052,0
5621492,0
5632936,1022
5647492,1022
5662056,1022
5676616,0
5688056,0
5699496,1022
5714056,1022
5728616,1022
5743176,0
5754616,0
5766052,1022
5780612,1022
5795172,1022
5809736,0
5821176,0
5832616,1022
5847176,1022
5861736,1022
5876292,0
5887736,0
5899176,1022
5913736,1022
5928296,1022
5942856,0
5954296,0
5965736,1022
5980296,1022
5994856,1022
6009416,0
6020852,0
6032296,1022
6046852,1022
6061416,1022
6075972,0
6087412,0
6098852,1021
6113416,1022
6127976,1022
6142532,0
6153972,0
6165416,1022
6179972,1021
6194536,1022
6209096,0
6220536,0
6231976,1022
6246532,1022
6261092,1022
6275656,0
6287096,0
6298536,1022
6313092,1022
6327656,1022
6342216,0
6353656,0
6365092,1022
6379656,1022
6394216,1022
6408776,0
6420216,0
6431656,1022
6446216,1022
6460776,1022
6475336,0
6486776,0
6498216,1022
6512772,1022
6527336,1022
6541892,0
6553336,0
6564776,1022
6579336,1022
6593896,1022
6608456,0
6619892,0
6631336,1022
6645892,1022
6660456,1022
6675016,0
6686456,0
6697892,1022
6712456,1022
6727016,1022
6741576,0
6753016,0
6764452,1022
6779016,1022
6793576,1022
6808136,0
6819572,0
6831016,1022
6845576,1022
6860136,1022
6874696,0
6886132,0
6897576,1022
6912136,1022
6926696,1022
6941256,0
6952692,0
6964132,1022
6978696,1022
6993256,1022
7007816,0
7019256,0
7030696,1022
7045256,1022
7059816,1022
7074376,0
7085816,0
7097256,1022
7111816,1022
7126376,1022
7140932,0
7152372,0
7163816,1022
7178376,1022
7192936,1021
7207496,0
7218936,0
7230376,1022
7244936,1022
7259496,1022
7274056,0
7285496,0
7296936,1022
7311496,1022
7326056,1022
7340616,0
7352056,0
7363496,1022
7378056,1022
7392616,1022
7407176,0
7418616,0
7430056,1022
7444616,1022
7459172,1022
7473732,0
7485176,0
7496616,1022
7511176,1022
7525736,1022
7540292,0
7551736,0
7563172,1022
7577736,1022
7592292,1022
7606852,0
7618296,0
7629736,1022
7644296,1022
7658852,1022
7673416,0
7684852,0
7696296,1022
7710856,1022
7725416,1022
7739976,0
7751416,0
7762852,1022
7777416,1022
7791976,1022
7806532,0
7817976,0
7829416,1022
7843976,1022
7858536,1022
7873092,0
7884532,0
7895976,1022
7910536,1022
7925096,1022
7939652,0
7951096,0
7962536,1022
7977092,1022
7991656,1022
8006216,0
8017652,0
8029096,1022
8043656,1022
8058216,1022
8072776,0
8084216,0
8095656,1022
8110216,1022
8124776,1022
8139336,0
8150776,0
8162216,1022
8176776,1022
8191336,1022
8205896,0
8217336,0
8228776,1022
8243336,1022
8257896,1022
8272452,0
8283896,0
8295336,1022
8309896,1022
8324456,1022
8339012,0
8350452,0
8361896,1022
8376456,1022
8391016,1022
8405576,0
8417012,0
8428456,1022
8443016,1022
8457576,1022
8472136,0
8483576,0
8495016,1022
8509576,1021
8524136,1022
8538692,0
8550132,0
8561572,1022
8576136,1022
8590696,1022
8605256,0
8616696,0
8628136,1022
8642696,1022
8657256,1022
8671816,0
8683256,0
8694696,1022
8709256,1022
8723816,1022
8738376,0
8749816,0
8761256,1022
8775816,1022
8790376,1022
8804936,0
8816376,0
8827816,1022
8842376,1022
8856936,1022
8871496,0
8882936,0
8894376,1022
8908932,1021
8923496,1021
8938052,0
8949496,0
8960936,1022
8975492,1022
8990056,1022
9004616,0
9016056,0
9027496,1022
9042052,1022
9056616,1022
9071176,0
9082616,0
9094052,1022
9108616,1022
9123176,1022
9137732,0
9149172,0
9160616,1022
9175176,1022
9189736,1022
9204296,0
9215736,0
9227176,1022
9241736,1022
9256292,1022
9270856,0
9282292,0
9293736,1022
9308296,1022
9322856,1022
9337416,0
9348856,0
9360296,1022
9374852,1022
9389416,1022
9403976,0
9415416,0
9426856,1021
9441416,1021
9455976,1022
9470532,0
9481976,0
9493416,1022
9507976,1022
9522536,1022
9537092,0
9548536,0
9559976,1022
9574536,1022
9589096,1022
9603656,0
9615096,0
9626536,1022
9641096,1021
9655652,1022
9670216,0
9681652,0
9693092,1022
9707652,1022
9722216,1021
9736776,0
9748216,0
9759656,1021
9774216,1022
9788776,1022
9803336,0
9814776,0
9826216,1022
9840776,1022
9855336,1022
9869896,0
9881332,0
9892772,1022
9907336,1022
9921896,1022
9936452,0
9947896,0
9959336,1022
9973896,1022
9988456,1022
10003016,0
10015496,0
