time,range
1504,272
2988,194
4468,142
5948,104
7440,74
8888,56
10332,41
12776,26
23176,369
34612,309
46052,228
57496,456
68936,602
80376,707
91820,593
103256,424
115736,245
128216,546
140696,732
153176,425
165652,244
178132,546
190616,732
203092,426
215576,245
228056,546
240536,731
253016,426
265496,246
277972,546
290456,732
302936,425
315416,246
327896,546
340376,732
352852,425
365336,246
377816,546
390292,732
402772,426
415252,245
427736,546
440216,731
452696,425
465176,246
477656,547
490136,733
502616,425
515096,244
527576,545
540056,731
552536,426
565016,246
577496,546
589976,732
602456,426
614936,245
627416,546
639896,731
652372,426
664856,246
677336,547
689816,732
702296,425
714776,245
727256,547
739736,732
752216,424
764692,246
777176,546
789656,731
802136,425
814616,246
827096,546
839576,732
852056,426
864536,246
877016,547
889496,732
901976,425
914456,245
926936,546
939416,731
951896,426
964376,246
976852,546
989336,732
1001816,425
1015340,379
1028856,707
1042376,370
1055896,459
1069416,743
1082936,323
1096456,525
1109980,624
1123496,282
1137016,584
1150536,540
1164056,246
1177576,635
1191096,468
1204620,318
1218132,681
1231656,406
1245180,407
1258696,721
1272216,352
1285736,482
1299260,690
1312776,307
1326296,547
1339820,593
1353336,269
1366856,601
1380372,515
1393896,232
1407416,652
1420936,446
1434460,351
1447972,695
1461492,387
1475016,433
1488532,732
1502052,338
1515576,504
1529100,656
1542612,295
1556132,566
1569660,565
1583176,258
1596696,619
1610216,490
1623740,285
1637252,666
1650776,425
1664300,380
1677812,708
1691336,370
1704856,458
1718376,742
1731896,323
1745416,525
1758940,623
1772456,281
1785976,585
1799496,539
1813016,246
1826532,635
1840056,467
1853580,319
1867096,680
1880616,405
1894140,406
1907652,720
1921172,353
1934696,482
1948220,691
1961732,308
1975256,546
1988780,594
2002296,268
2015812,603
2029336,515
2042856,232
2056372,651
2069896,446
2083420,349
2096936,694
2110456,388
2123972,432
2137496,732
2151016,338
2164536,503
2178060,656
2191572,294
2205092,566
2218620,566
2232136,257
2245656,619
2259176,490
2272700,285
2286216,667
2299736,426
2313260,379
2326772,707
2340296,371
2353816,458
2367332,742
2380852,323
2394372,525
2407900,623
2421416,282
2434936,585
2448456,539
2461976,245
2475496,636
2489016,468
2502540,319
2516052,680
2529576,405
2543100,407
2556612,720
2570132,353
2583656,481
2597180,691
2610696,307
2624216,546
2637740,594
2651256,269
2664776,602
2678292,515
2691816,232
2705332,652
2718856,446
2732380,351
2745896,693
2759416,387
2772932,434
2786456,733
2799976,337
2813496,505
2827020,656
2840536,295
2854056,566
2867580,566
2881092,257
2894616,619
2908136,490
2921660,284
2935176,667
2948696,426
2962220,379
2975732,708
2989252,371
3002776,458
3016292,743
3029816,323
3043332,526
3056860,624
3070376,282
3083892,585
3097416,539
3110936,245
3124456,635
3137976,467
3151500,320
3165016,681
3178536,405
3192060,406
3205572,720
3219092,353
3232616,482
3246140,691
3259656,308
3273176,546
3286700,593
3300216,267
3313736,602
3327256,514
3340776,232
3354296,651
3367816,447
3381340,351
3394856,694
3408372,388
3421892,433
3435416,732
3448936,337
3462456,504
3475980,655
3489496,295
3503016,565
3516540,566
3530056,256
3543576,619
3557096,491
3570620,285
3584136,667
3597656,426
3611180,380
3624696,708
3638216,370
3651736,458
3665256,742
3678776,323
3692296,525
3705820,625
3719336,281
3732856,584
3746376,540
3759896,246
3773412,635
3786932,468
3800460,319
3813972,681
3827496,406
3841020,406
3854536,720
3868056,353
3881576,482
3895100,690
3908616,308
3922136,545
3935660,592
3949172,269
3962692,602
3976212,514
3989736,231
4003256,650
4016776,447
4030300,350
4043816,695
4057336,388
4070856,433
4084372,732
4097892,337
4111412,504
4124940,655
4138456,294
4151976,566
4165500,566
4179016,257
4192536,619
4206056,491
4219580,286
4233096,667
4246612,425
4260140,379
4273652,708
4287172,369
4300696,457
4314212,743
4327736,322
4341256,525
4354780,624
4368296,281
4381816,585
4395336,540
4408852,247
4422376,636
4435896,468
4449420,319
4462936,681
4476452,407
4489980,407
4503492,721
4517012,353
4530532,482
4544060,691
4557576,309
4571092,547
4584620,594
4598136,270
4611656,602
4625176,515
4638696,232
4652212,652
4665732,446
4679260,349
4692776,694
4706296,388
4719816,432
4733332,732
4746852,338
4760372,505
4773900,655
4787416,294
4800932,565
4814460,565
4827976,257
4841496,619
4855012,490
4868540,285
4882052,666
4895572,426
4909100,380
4922612,708
4936132,370
4949656,458
4963176,744
4976696,322
4990216,525
5003740,623
