time,range
1504,457
2992,614
4476,725
5972,803
7464,859
8960,801
10448,577
15900,286
27332,266
38776,444
50220,762
61656,703
73096,509
84536,171
95976,290
107416,492
119900,667
132376,788
144856,719
157332,626
169816,504
182300,340
194776,187
207252,250
219736,335
232216,452
244696,612
257176,805
269652,740
282136,655
294616,542
307096,391
319576,168
332056,230
344536,308
357016,415
369496,561
381980,765
394452,760
406932,682
419416,578
431892,439
444380,251
456856,212
469336,283
481816,380
494296,515
506780,698
519256,779
531736,707
544216,610
556696,483
569180,312
581656,195
594136,261
606612,350
619096,472
631580,639
644056,796
656532,729
669016,640
681496,523
693976,366
706456,180
718936,240
731416,321
743892,433
756376,586
768856,812
781332,750
793816,668
806296,561
818776,416
831260,217
843736,221
856216,295
868696,397
881172,537
893660,730
906136,770
918612,695
931092,595
943576,462
956060,282
968536,203
981016,272
993496,365
1005976,492
1019496,528
1033016,565
1046536,606
1060060,648
1073580,695
1087100,747
1100616,812
1114132,799
1127652,786
1141176,771
1154696,756
1168212,740
1181732,723
1195256,704
1208772,685
1222292,664
1235812,642
1249336,618
1262856,593
1276372,566
1289892,538
1303416,507
1316936,474
1330456,439
1343976,402
1357496,361
1371020,319
1384540,272
1398060,221
1411576,176
1425096,188
1438616,201
1452136,214
1465656,229
1479176,244
1492696,261
1506216,279
1519736,297
1533256,318
1546776,340
1560296,364
1573816,389
1587336,416
1600856,445
1614376,477
1627892,511
1641412,547
1654936,586
1668460,627
1681980,672
1695500,722
1709020,777
1722536,805
1736056,792
1749576,778
1763092,763
1776616,748
1790136,731
1803656,713
1817176,694
1830696,674
1844216,653
1857736,630
1871252,605
1884776,579
1898296,551
1911816,522
1925336,490
1938852,456
1952376,420
1965896,381
1979420,340
1992940,295
2006460,246
2019980,189
2033492,182
2047016,195
2060532,208
2074056,222
2087576,237
2101092,253
2114616,270
2128136,289
2141656,308
2155172,330
2168696,352
2182216,377
2195732,403
2209252,432
2222776,462
2236296,495
2249816,530
2263336,568
2276852,608
2290380,651
2303900,698
2317420,750
2330936,811
2344456,798
2357972,785
2371496,771
2385016,755
2398536,739
2412052,722
2425576,704
2439096,684
2452616,663
2466132,641
2479652,617
2493176,592
2506696,565
2520216,536
2533732,506
2547256,472
2560776,437
2574296,399
2587816,359
2601340,317
2614860,270
2628380,218
2641896,177
2655416,189
2668936,201
2682456,215
2695976,230
2709492,245
2723012,262
2736536,280
2750056,299
2763572,320
2777092,342
2790616,365
2804136,391
2817656,418
2831176,448
2844692,479
2858212,513
2871736,549
2885252,588
2898780,630
2912300,675
2925820,725
2939340,780
2952856,805
2966372,791
2979892,777
2993416,763
3006936,747
3020456,730
3033976,712
3047496,693
3061016,673
3074536,652
3088056,629
3101576,604
3115096,578
3128616,550
3142136,520
3155656,488
3169176,454
3182692,418
3196216,379
3209740,338
3223260,293
3236780,243
3250292,184
3263816,183
3277332,195
3290856,208
3304376,223
3317892,238
3331416,254
3344932,271
3358456,290
3371976,310
3385496,331
3399012,354
3412532,378
3426056,405
3439576,433
3453092,464
3466616,497
3480132,532
3493656,570
3507176,610
3520700,653
3534220,700
3547740,753
3561256,810
3574776,798
3588292,784
3601816,770
3615336,754
3628856,738
3642376,721
3655892,703
3669412,683
3682932,662
3696452,640
3709976,616
3723496,591
3737016,564
3750536,535
3764052,504
3777576,471
3791096,435
3804616,398
3818136,357
3831660,314
3845180,267
3858700,215
3872212,178
3885736,189
3899252,202
3912772,216
3926296,230
3939812,246
3953332,263
3966856,281
3980376,300
3993896,320
4007416,343
4020932,367
4034456,392
4047976,419
4061496,449
4075016,481
4088536,515
4102056,551
4115576,591
4129100,632
4142620,677
4156140,728
4169660,784
4183172,804
4196696,791
4210216,777
4223736,762
4237256,746
4250776,729
4264296,711
4277816,692
4291332,672
4304856,650
4318376,627
4331892,603
4345412,576
4358936,549
4372456,519
4385976,487
4399492,452
4413012,416
4426536,377
4440060,336
4453580,290
4467100,241
4480616,168
4494136,184
4507656,196
4521176,210
4534696,224
4548212,239
4561736,255
4575252,272
4588772,291
4602296,311
4615816,333
4629332,355
4642856,380
4656376,406
4669896,435
4683416,466
4696936,499
4710456,534
4723976,572
4737496,613
4751020,656
4764540,703
4778060,755
4791572,810
4805096,797
4818612,783
4832136,769
4845656,753
4859176,737
4872696,720
4886216,702
4899736,682
4913256,660
4926776,639
4940296,615
4953812,589
4967336,562
4980856,533
4994376,502
5007896,469
5021412,434
5034936,395
