time,range
1504,232
2992,251
4476,456
5964,602
7464,516
8956,361
10448,257
15896,494
27340,390
38780,665
50216,297
61656,634
73096,383
84536,534
95976,496
107420,404
119896,506
132376,518
144856,404
157336,608
169816,325
182296,681
194780,307
207260,589
219732,445
232212,469
244696,551
257172,376
269656,634
282136,303
294616,702
307100,359
319580,545
332052,483
344536,436
357016,581
369496,350
381976,659
394456,282
406940,638
419420,404
431896,506
444376,518
456856,405
469336,608
481816,326
494296,681
506780,307
519260,589
531736,445
544216,469
556696,551
569176,376
581656,634
594136,303
606612,702
619100,359
631580,545
644056,483
656536,436
669016,580
681496,350
693976,659
706456,282
718940,638
731420,404
743896,506
756376,518
768856,405
781336,609
793816,325
806296,681
818780,307
831260,589
843736,445
856216,469
868696,551
881176,376
893656,634
906136,303
918616,702
931100,359
943580,545
956056,483
968532,436
981016,580
993496,350
1005976,658
1019500,415
1033016,390
1046536,697
1060056,483
1073572,344
1087100,613
1100616,543
1114136,303
1127660,535
1141176,595
1154700,292
1168216,470
1181736,641
1195260,382
1208776,412
1222296,681
1235816,455
1249332,363
1262860,651
1276376,518
1289892,320
1303420,567
1316936,573
1330456,283
1343976,497
1357496,622
1371020,347
1384536,436
1398056,664
1411580,426
1425096,383
1438616,702
1452136,492
1465656,337
1479180,601
1492696,551
1506216,298
1519732,526
1533256,602
1546780,307
1560296,461
1573816,647
1587340,394
1600856,405
1614376,687
1627892,465
1641416,356
1654940,638
1668456,527
1681976,314
1695500,556
1709016,581
1722536,278
1736056,488
1749576,628
1763100,359
1776616,428
1790136,670
1803660,436
1817172,376
1830700,681
1844216,501
1857736,332
1871260,589
1884776,558
1898296,293
1911816,516
1925336,609
1938860,321
1952376,453
1965896,653
1979420,405
1992932,398
2006456,692
2019976,474
2033496,350
2047020,625
2060536,535
2074056,309
2087580,545
2101092,588
2114612,271
2128136,479
2141656,635
2155180,371
2168696,420
2182216,676
2195736,445
2209256,369
2222780,666
2236292,510
2249816,326
2263340,578
2276856,566
2290372,288
2303896,507
2317416,615
2330940,334
2344456,444
2357976,659
2371500,415
2385016,391
2398536,697
2412056,483
2425576,344
2439100,613
2452616,543
2466136,303
2479660,535
2493176,595
2506700,292
2520216,470
2533736,641
2547260,382
2560776,413
2574296,681
2587816,455
2601336,363
2614860,652
2628372,518
2641896,320
2655420,567
2668936,573
2682456,283
2695976,497
2709496,621
2723020,347
2736536,436
2750056,665
2763580,426
2777096,383
2790616,702
2804132,492
2817656,338
2831180,601
2844692,551
2858216,298
2871736,526
2885252,602
2898780,307
2912296,461
2925816,647
2939340,394
2952856,405
2966376,687
2979896,465
2993416,357
3006940,638
3020456,527
3033976,314
3047500,556
3061016,581
3074536,278
3088056,488
3101576,628
3115100,359
3128616,428
3142136,670
3155660,436
3169176,376
3182700,681
3196216,501
3209736,332
3223260,589
3236776,558
3250296,293
3263816,516
3277332,609
3290860,321
3304376,453
3317896,653
3331420,405
3344936,398
3358452,692
3371976,474
3385496,350
3399020,625
3412536,535
3426052,309
3439580,545
3453092,588
3466616,271
3480136,479
3493656,634
3507180,371
3520696,420
3534216,676
3547736,445
3561252,370
3574780,665
3588296,510
3601812,326
3615340,578
3628856,566
3642376,288
3655892,507
3669416,615
3682940,334
3696456,444
3709976,659
3723500,416
3737016,391
3750536,697
3764052,483
3777576,344
3791100,613
3804616,543
3818136,304
3831660,535
3845176,595
3858700,292
3872216,470
3885736,641
3899260,382
3912776,413
3926296,681
3939816,455
3953336,364
3966860,652
3980376,518
3993896,320
4007420,567
4020936,574
4034456,283
4047976,497
4061496,622
4075020,347
4088536,436
4102052,664
4115580,426
4129096,384
4142616,702
4156136,493
4169656,338
4183180,601
4196696,551
4210212,298
4223736,526
4237256,602
4250780,307
4264296,461
4277816,647
4291340,394
4304856,405
4318376,687
4331896,465
4345416,357
4358940,638
4372456,527
4385976,315
4399500,556
4413016,581
4426536,278
4440056,488
4453576,628
4467100,359
4480616,428
4494136,670
4507660,436
4521176,377
4534700,681
4548216,501
4561736,332
4575260,589
4588776,559
4602296,293
4615816,517
4629336,609
4642860,321
4656372,453
4669896,653
4683420,405
4696936,398
4710456,692
4723976,474
4737496,351
4751020,625
4764536,535
4778056,309
4791580,546
4805092,588
4818616,271
4832132,479
4845656,634
4859180,371
4872696,420
4886216,676
4899732,445
4913256,370
4926780,666
4940292,510
4953816,326
4967340,578
4980856,566
4994376,288
5007896,506
