time,range
1504,155
2988,110
4472,324
5956,500
7440,630
8932,727
10424,798
15896,320
27332,810
38776,417
50212,291
61652,832
73096,478
84536,260
95972,850
107416,532
119896,187
132376,483
144856,780
157336,452
169816,220
182296,573
194776,742
207252,357
219732,259
232220,677
244696,697
257180,246
269656,305
282140,807
294616,646
307092,141
319576,360
332056,834
344536,585
357016,166
369496,426
381976,805
394456,513
406936,195
419416,504
431892,771
444376,430
456856,229
469336,598
481816,731
494296,331
506776,270
519260,707
531732,685
544220,214
556692,318
569172,853
581652,631
594136,147
606616,376
619096,828
631572,568
644052,173
656536,445
669016,797
681496,494
693976,203
706456,526
718932,762
731416,406
743896,239
756372,623
768856,721
781340,304
793816,282
806300,738
818776,672
831260,180
843736,332
856212,847
868692,616
881176,153
893652,392
906136,820
918616,551
931092,180
943576,464
956056,789
968536,473
981012,212
993492,549
1005972,752
1019496,502
1033016,160
1046536,329
1060060,688
1073572,753
1087096,504
1100616,160
1114132,327
1127660,685
1141176,754
1154696,506
1168216,160
1181732,326
1195260,683
1208776,755
1222296,507
1235816,159
1249336,325
1262860,680
1276376,755
1289896,509
1303416,158
1316936,324
1330460,678
1343976,756
1357496,510
1371012,158
1384536,323
1398060,676
1411572,757
1425092,512
1438612,157
1452136,322
1465660,673
1479176,758
1492692,513
1506216,157
1519736,321
1533260,671
1546772,759
1560296,515
1573816,156
1587336,320
1600860,668
1614376,760
1627896,517
1641416,156
1654936,319
1668460,666
1681976,760
1695492,519
1709012,155
1722532,318
1736060,664
1749572,761
1763096,520
1776616,155
1790136,317
1803656,663
1817172,762
1830692,522
1844216,155
1857736,316
1871256,660
1884776,763
1898296,523
1911812,154
1925336,314
1938856,658
1952376,763
1965896,525
1979416,154
1992936,314
2006456,656
2019972,764
2033496,526
2047016,153
2060536,312
2074056,653
2087572,765
2101092,528
2114616,152
2128136,311
2141656,651
2155176,766
2168696,529
2182216,152
2195736,310
2209256,649
2222776,766
2236296,531
2249816,151
2263332,309
2276856,646
2290376,767
2303896,532
2317412,151
2330936,308
2344456,644
2357976,768
2371496,534
2385016,150
2398536,307
2412052,642
2425576,769
2439092,536
2452616,150
2466136,306
2479656,640
2493172,770
2506692,537
2520216,149
2533736,305
2547256,637
2560776,770
2574296,539
2587816,149
2601336,304
2614856,635
2628376,771
2641892,540
2655416,149
2668936,303
2682452,633
2695976,772
2709496,542
2723016,148
2736532,302
2750056,630
2763576,773
2777096,543
2790616,147
2804136,301
2817656,628
2831176,774
2844696,544
2858216,147
2871736,300
2885256,626
2898776,774
2912296,546
2925816,146
2939336,299
2952856,624
2966376,775
2979896,548
2993416,146
3006932,298
3020456,622
3033972,776
3047492,549
3061012,145
3074536,297
3088052,619
3101576,777
3115096,551
3128612,145
3142136,296
3155656,617
3169176,777
3182696,552
3196212,144
3209736,295
3223256,615
3236776,778
3250296,554
3263816,144
3277336,294
3290856,613
3304376,779
3317892,555
3331416,144
3344932,293
3358456,611
3371976,780
3385496,556
3399016,143
3412536,292
3426052,608
3439576,780
3453096,558
3466612,143
3480132,291
3493656,607
3507172,781
3520696,559
3534212,142
3547736,290
3561256,604
3574772,782
3588296,561
3601816,142
3615336,288
3628852,602
3642376,782
3655896,562
3669412,141
3682932,288
3696452,600
3709976,783
3723496,564
3737016,141
3750532,286
3764056,598
3777572,784
3791096,565
3804612,140
3818136,286
3831656,596
3845172,785
3858696,566
3872216,140
3885732,285
3899252,594
3912776,785
3926296,568
3939816,139
3953336,284
3966856,592
3980372,786
3993892,569
4007416,139
4020936,283
4034452,590
4047976,787
4061496,571
4075016,139
4088532,282
4102052,588
4115572,788
4129096,572
4142616,138
4156136,281
4169656,586
4183176,788
4196696,574
4210216,136
4223732,280
4237256,583
4250772,789
4264292,575
4277816,136
4291332,279
4304856,581
4318376,790
4331896,576
4345416,132
4358936,278
4372456,579
4385976,790
4399496,578
4413012,132
4426532,277
4440052,577
4453572,791
4467096,579
4480616,131
4494136,276
4507656,575
4521172,792
4534692,581
4548212,146
4561732,275
4575256,573
4588776,792
4602292,582
4615820,152
4629336,274
4642856,571
4656376,793
4669896,583
4683420,155
4696936,273
4710456,569
4723976,794
4737492,585
4751020,158
4764536,272
4778056,567
4791572,794
4805096,586
4818620,162
4832136,272
4845656,565
4859176,795
4872692,587
4886220,165
4899736,271
4913252,563
4926776,796
4940296,589
4953820,168
4967336,270
4980856,562
4994376,797
5007896,590
5021420,171
5034932,269
