time,range
1512,479
2996,632
4496,536
5980,379
7472,552
8968,584
10456,407
15896,360
27336,518
38780,587
50216,409
61660,443
73096,598
84540,475
95976,336
107416,539
119896,430
132372,539
144856,430
157336,539
169816,430
182296,539
194772,430
207256,539
219736,430
232216,538
244696,430
257176,539
269656,430
282136,538
294616,430
307096,539
319576,430
332056,539
344536,430
357016,539
369496,430
381976,539
394456,430
406936,539
419412,430
431896,539
444376,430
456856,539
469336,430
481812,539
494296,430
506776,539
519256,430
531736,539
544216,430
556696,539
569176,431
581656,539
594136,430
606616,538
619096,430
631576,538
644056,430
656536,539
669012,430
681496,539
693972,430
706452,539
718936,430
731416,539
743896,430
756376,539
768856,430
781336,539
793816,430
806292,539
818776,430
831256,539
843736,430
856216,539
868696,430
881176,539
893656,431
906136,539
918616,430
931096,539
943576,430
956056,539
968536,430
981016,539
993496,430
1005972,539
1019496,336
1033020,475
1046536,598
1060060,443
1073576,409
1087100,586
1100616,517
1114136,354
1127660,500
1141176,579
1154700,414
1168216,431
1181732,633
1195260,494
1208776,371
1222300,526
1235816,560
1249340,383
1262856,452
1276376,616
1289900,469
1303416,390
1316940,555
1330456,538
1343972,336
1357500,475
1371016,598
1384540,442
1398056,410
1411580,586
1425096,517
1438616,354
1452140,499
1465652,579
1479180,414
1492696,430
1506216,633
1519740,494
1533252,371
1546780,527
1560296,560
1573820,383
1587336,453
1600856,616
1614380,469
1627896,390
1641420,555
1654936,539
1668456,336
1681980,475
1695496,598
1709020,443
1722536,410
1736060,586
1749576,517
1763096,354
1776620,500
1790136,579
1803660,414
1817172,430
1830696,633
1844220,494
1857736,371
1871260,526
1884776,559
1898300,383
1911816,452
1925336,616
1938860,469
1952376,390
1965900,555
1979416,539
1992936,336
2006460,475
2019976,598
2033500,443
2047016,410
2060540,587
2074056,517
2087576,354
2101100,500
2114616,580
2128140,414
2141656,431
2155176,633
2168700,494
2182216,372
2195740,527
2209256,560
2222780,383
2236296,453
2249816,616
2263340,469
2276856,390
2290380,555
2303896,539
2317416,336
2330940,475
2344456,598
2357980,443
2371496,409
2385020,586
2398536,516
2412056,354
2425580,500
2439096,579
2452620,414
2466136,431
2479656,633
2493180,494
2506696,372
2520220,527
2533736,560
2547260,383
2560776,453
2574296,616
2587820,469
2601336,390
2614860,555
2628376,539
2641896,336
2655420,475
2668936,598
2682460,443
2695976,410
2709500,587
2723016,517
2736536,354
2750060,500
2763576,580
2777100,414
2790616,430
2804136,633
2817660,494
2831176,372
2844700,527
2858216,560
2871740,383
2885256,453
2898776,616
2912300,470
2925816,390
2939340,555
2952852,539
2966376,336
2979900,475
2993416,598
3006940,443
3020456,410
3033980,587
3047492,517
3061012,354
3074540,500
3088052,579
3101580,414
3115096,431
3128616,633
3142140,494
3155656,372
3169180,527
3182696,560
3196220,383
3209732,453
3223256,616
3236780,470
3250296,390
3263820,555
3277332,539
3290856,336
3304380,475
3317896,598
3331420,443
3344932,410
3358460,587
3371976,517
3385496,354
3399020,500
3412536,579
3426060,414
3439576,431
3453096,633
3466620,494
3480136,372
3493660,527
3507176,560
3520700,383
3534216,453
3547736,616
3561260,470
3574776,390
3588300,555
3601816,539
3615336,336
3628860,475
3642376,598
3655900,443
3669412,410
3682940,587
3696456,517
3709972,354
3723500,500
3737016,580
3750540,414
3764056,431
3777576,633
3791100,494
3804616,372
3818140,527
3831656,560
3845180,383
3858696,453
3872216,616
3885740,469
3899256,390
3912780,555
3926296,539
3939816,336
3953340,475
3966856,598
3980380,443
3993896,410
4007420,587
4020932,517
4034456,355
4047980,500
4061496,580
4075020,414
4088536,431
4102052,633
4115580,494
4129096,372
4142620,526
4156136,560
4169660,383
4183176,453
4196696,616
4210220,469
4223736,390
4237260,555
4250776,539
4264296,336
4277820,475
4291336,598
4304860,443
4318376,410
4331900,587
4345416,517
4358936,354
4372460,500
4385976,580
4399500,414
4413016,431
4426536,633
4440060,494
4453576,372
4467100,527
4480616,560
4494140,383
4507656,453
4521176,616
4534700,470
4548216,390
4561740,555
4575256,539
4588776,336
4602300,475
4615816,598
4629340,443
4642856,410
4656380,587
4669892,517
4683416,354
4696940,500
4710456,580
4723980,414
4737496,431
4751016,633
4764540,494
4778056,372
4791580,527
4805096,560
4818620,383
4832136,453
4845656,616
4859180,469
4872696,390
4886220,555
4899736,539
4913256,336
4926780,475
4940292,598
4953820,443
4967332,410
4980860,587
4994376,517
5007896,354
5021420,500
5034936,580
5048460,414
