time,range
1504,442
2988,318
4468,231
5960,421
7448,579
8940,692
10424,776
15896,694
27336,494
38772,359
50216,720
61656,192
73096,848
84536,104
95976,643
107416,511
119896,274
132376,826
144860,183
157332,469
169816,707
182296,161
194780,807
207256,511
219736,274
232212,826
244700,183
257172,469
269652,707
282136,161
294620,807
307096,511
319576,274
332056,826
344540,183
357016,469
369496,707
381976,162
394460,807
406932,511
419416,274
431892,826
444380,183
456856,469
469332,707
481812,161
494300,807
506776,511
519256,274
531736,826
544220,183
556696,469
569176,707
581656,162
594140,807
606616,511
619092,274
631576,826
644060,183
656536,469
669016,707
681492,162
693980,807
706456,511
718936,274
731416,826
743900,184
756376,469
768856,707
781336,162
793820,807
806296,511
818776,274
831256,826
843740,183
856216,469
868696,707
881176,162
893660,807
906136,511
918616,274
931096,826
943580,184
956052,469
968536,707
981016,162
993500,807
1005976,511
1019496,220
1033012,889
1046536,569
1060056,193
1073580,771
1087096,621
1100616,169
1114132,674
1127652,667
1141176,149
1154696,588
1168216,707
1181736,130
1195256,513
1208772,742
1222296,115
1235816,448
1249336,774
1262860,146
1276376,392
1289896,801
1303420,252
1316936,342
1330456,826
1343972,340
1357492,299
1371016,847
1384536,420
1398056,262
1411572,867
1425092,490
1438616,230
1452136,883
1465656,551
1479172,201
1492700,807
1506216,605
1519732,177
1533260,704
1546776,652
1560296,155
1573816,615
1587336,694
1600856,137
1614376,537
1627892,731
1641416,120
1654936,469
1668452,764
1681976,104
1695492,410
1709016,793
1722540,219
1736056,358
1749576,818
1763092,312
1776612,313
1790136,841
1803656,395
1817176,274
1830696,860
1844216,467
1857736,240
1871256,878
1884776,531
1898292,211
1911820,846
1925332,587
1938852,185
1952380,737
1965896,637
1979416,162
1992932,644
2006456,681
2019972,142
2033492,562
2047016,719
2060536,125
2074056,491
2087576,753
2101096,110
2114616,429
2128132,783
2141660,183
2155172,374
2168696,810
2182220,283
2195736,327
2209256,833
2222776,368
2236296,287
2249816,854
2263336,444
2276852,251
2290376,872
2303896,511
2317412,220
2330936,889
2344456,570
2357976,193
2371500,771
2385016,621
2398536,169
2412056,674
2425576,667
2439096,149
2452616,588
2466136,707
2479656,131
2493176,514
2506692,742
2520216,115
2533736,449
2547256,774
2560780,146
2574296,392
2587816,801
2601340,252
2614856,342
2628372,825
2641896,341
2655412,300
2668936,847
2682456,420
2695972,262
2709496,867
2723016,490
2736536,230
2750052,883
2763576,551
2777096,202
2790620,807
2804136,604
2817656,177
2831180,704
2844696,652
2858216,156
2871736,616
2885256,694
2898772,137
2912292,538
2925812,731
2939336,120
2952856,470
2966372,764
2979896,104
2993416,410
3006932,792
3020460,219
3033976,358
3047496,818
3061016,312
3074536,314
3088056,840
3101576,394
3115096,274
3128612,860
3142136,467
3155656,240
3169172,878
3182696,531
3196212,211
3209740,846
3223252,587
3236772,185
3250300,737
3263816,637
3277336,162
3290856,644
3304372,681
3317896,143
3331416,562
3344936,719
3358456,125
3371976,491
3385496,753
3399016,110
3412532,429
3426056,783
3439580,184
3453092,375
3466616,810
3480140,283
3493656,328
3507176,833
3520692,368
3534212,287
3547736,854
3561256,444
3574776,251
3588296,872
3601816,511
3615336,220
3628856,888
3642376,569
3655896,193
3669420,771
3682936,621
3696456,170
3709976,674
3723492,667
3737016,149
3750536,588
3764052,707
3777576,131
3791096,514
3804616,742
3818132,115
3831652,449
3845176,774
3858700,146
3872212,392
3885736,801
3899260,252
3912776,342
3926296,826
3939816,340
3953336,300
3966856,847
3980376,420
3993896,262
4007416,866
4020936,490
4034456,230
4047976,883
4061496,550
4075016,202
4088540,807
4102052,605
4115576,177
4129100,704
4142616,652
4156136,155
4169656,616
4183172,694
4196696,137
4210216,538
4223736,731
4237256,120
4250776,470
4264292,764
4277816,104
4291336,410
4304856,792
4318380,219
4331892,358
4345412,818
4358932,312
4372456,314
4385976,841
4399496,395
4413016,274
4426532,860
4440056,467
4453572,241
4467096,878
4480616,531
4494132,211
4507660,846
4521176,587
4534696,185
4548220,737
4561736,637
4575256,162
4588772,644
4602296,681
4615812,143
4629332,562
4642856,719
4656376,125
4669896,492
4683412,753
4696936,110
4710456,429
4723972,783
4737500,184
4751016,375
4764532,810
4778060,283
4791572,328
4805096,833
4818616,368
4832136,287
4845656,854
4859176,444
4872692,251
4886216,872
4899736,511
4913256,220
4926776,889
4940296,569
4953816,193
4967340,771
4980856,621
4994376,169
5007896,674
5021416,667
5034936,149
