Time,Vin,Vout
3557,1.8920,1.9057
3570,1.7825,2.0679
3585,2.0704,2.5064
3598,2.9057,2.8807
3612,3.0064,2.7121
3625,2.7214,2.2639
3640,1.8910,1.9071
3653,1.7942,2.0880
3667,2.2937,2.5386
3681,2.9062,2.8807
3695,2.9956,2.6975
3708,2.5137,2.2385
3723,1.8876,1.9076
3737,1.8045,2.1051
3750,2.3045,2.5699
3765,2.9047,2.8788
3778,2.9848,2.6804
3792,2.5024,2.2146
3806,1.8871,1.9086
3820,1.8172,2.1232
3833,2.3143,2.5860
3848,2.9071,2.8793
3861,2.9741,2.6652
3875,2.4927,2.2004
3889,1.8842,1.9076
3903,2.0288,2.1408
3916,2.3265,2.6041
3931,2.9066,2.8788
3944,2.7732,2.6354
3958,2.4780,2.1833
3972,1.8822,1.9081
3986,2.0313,2.1618
3999,2.3338,2.6168
4014,2.9071,2.8807
4028,2.7717,2.6344
4041,2.4687,2.1686
4056,1.8803,1.9091
4069,2.0323,2.1662
4083,2.3426,2.6285
4097,2.9076,2.8788
4111,2.7698,2.6295
4124,2.4599,2.1554
4139,1.8793,1.9091
4152,1.8348,2.1696
4166,2.3500,2.6403
4179,2.9091,2.8788
4194,2.9682,2.6261
4207,2.4497,2.1432
4221,1.8788,1.9110
4235,1.8451,2.1740
4249,2.3592,2.6530
4263,2.9096,2.8793
4277,2.9599,2.6261
4291,2.4394,2.1305
4304,1.8749,1.9091
4319,1.8514,2.1764
4332,2.3680,2.6662
4346,2.9110,2.8788
4360,2.9501,2.6119
4374,2.4296,2.1163
4387,1.8739,1.9096
4402,1.8617,2.1926
4415,2.3768,2.6804
4429,2.9106,2.8768
4443,2.9433,2.6002
4457,2.4198,2.1031
4470,1.6760,1.9101
4485,1.8700,2.2058
4498,2.3900,2.6965
4512,3.1114,2.8798
4527,2.9291,2.5816
4540,2.4052,2.0846
4554,1.6862,1.9042
4568,1.8822,2.2268
4582,2.4022,2.7141
4595,3.1051,2.8812
4610,2.9203,2.5660
4623,2.3910,2.0679
4637,1.6921,1.9159
4651,1.8920,2.2424
4665,2.4120,2.7278
4678,3.0992,2.8710
4692,2.9091,2.5484
4706,2.1794,2.0494
4720,1.6955,1.9238
4733,1.9032,2.2610
4748,2.6271,2.7493
4761,3.0909,2.8597
4775,2.8935,2.5274
4790,2.1755,2.0308
4803,1.7043,1.9389
4817,1.9135,2.2766
4831,2.6310,2.7674
4845,3.0846,2.8524
4858,2.8866,2.5161
4873,2.1725,2.0181
4886,1.7077,1.9448
4900,1.9213,2.2869
4914,2.6354,2.7747
4928,3.0777,2.8431
4941,2.8754,2.5020
4956,2.1662,2.0127
4969,1.7121,1.9555
4983,1.9321,2.3035
4997,2.6388,2.7796
5011,3.0738,2.8353
5025,2.8690,2.4912
