time,range
7225180,216
7238692,253
7252216,494
7265732,824
7279252,661
7292776,362
7306296,202
7319816,395
7333340,768
7346852,726
7360376,482
7373892,161
7387416,316
7400936,617
7414456,780
7427976,580
7441500,216
7455016,252
7468536,494
7482052,824
7495576,661
7509092,362
7522612,202
7536136,395
7549660,768
7563172,726
7576696,482
7590216,161
7603732,315
7617252,617
7630776,780
7644296,580
7657820,215
7671332,252
7684856,494
7698376,824
7711896,660
7725416,361
7738936,202
7752452,395
7765980,768
7779496,726
7793016,482
7806536,161
7820056,315
7833576,616
7847096,780
7860616,580
7874140,215
7887656,252
7901176,494
7914696,823
7928212,660
7941736,362
7955252,202
7968772,395
7982300,768
7995812,726
8009336,482
8022856,162
8036376,316
8049896,616
8063416,780
8076932,580
8090460,215
8103976,252
8117496,494
8131016,823
8144536,660
8158056,362
8171576,202
8185096,394
8198620,768
8212136,726
8225656,482
8239176,161
8252696,315
8266216,616
8279736,780
8293256,580
8306780,215
8320296,252
8333812,494
8347332,823
8360852,660
8374372,362
8387892,202
8401416,394
8414940,768
8428452,726
8441976,482
8455492,161
8469016,315
8482536,616
8496056,780
8509576,580
8523100,215
8536616,252
8550136,494
8563656,823
8577176,660
8590692,361
8604216,201
8617736,394
8631260,768
8644776,726
8658292,481
8671816,161
8685332,315
8698856,616
8712376,780
8725896,580
8739420,215
8752936,252
8766456,494
8779976,824
8793496,660
8807016,361
8820536,202
8834056,394
8847580,768
8861096,726
8874616,482
8888136,161
8901656,315
8915176,616
8928696,780
8942216,580
8955740,215
8969256,252
8982776,494
8996296,823
9009816,660
9023336,362
9036852,201
9050376,394
9063900,768
9077416,726
9090936,482
9104456,161
9117972,315
9131496,616
9145016,780
9158532,580
9172060,215
9185576,252
9199096,493
9212616,823
9226132,660
9239656,362
9253176,202
9266692,394
9280220,768
9293736,726
9307256,482
9320772,161
9334292,315
9347812,616
9361336,780
9374856,580
9388380,215
9401896,252
9415416,493
9428936,823
9442456,660
9455976,361
9469496,201
9483016,394
9496540,768
9510056,726
9523576,481
9537092,161
9550616,315
9564136,616
9577652,779
9591172,580
9604700,215
9618216,252
9631736,494
9645256,823
9658776,660
9672296,362
9685812,202
9699336,395
9712860,768
9726376,726
9739896,482
9753412,161
