time,range
1524,486
3020,481
4532,489
6036,479
7540,490
9044,478
10556,491
15904,497
27352,462
38784,518
50224,456
61664,504
73108,470
84548,490
95984,486
107428,473
119904,497
132384,467
144872,502
157352,461
169828,523
182308,446
194784,518
207264,451
219744,514
232224,456
244708,509
257188,461
269664,504
282148,466
294628,500
307104,470
319584,495
332064,475
344544,489
357024,481
369504,485
381988,486
394464,479
406944,492
419424,473
431904,497
444384,467
456872,502
469352,462
481824,523
494308,446
506784,518
519264,451
531748,514
544224,456
556704,509
569184,461
581664,504
594144,465
606628,499
619108,470
631584,495
644064,475
656544,490
669024,480
681508,484
693988,486
706464,479
718944,491
731428,473
743908,497
756388,467
768872,502
781352,461
793824,523
806308,446
818784,518
831268,451
843744,514
856224,456
868704,509
881188,461
893664,505
906144,465
918624,499
931104,471
943584,495
956064,475
968548,489
981024,481
993504,484
1005984,486
1019504,484
1033024,480
1046544,490
1060064,476
1073588,495
1087104,470
1100624,499
1114148,465
1127664,504
1141184,461
1154704,509
1168224,456
1181744,514
1195268,452
1208784,518
1222304,446
1235824,523
1249352,462
1262872,502
1276384,467
1289904,498
1303424,473
1316944,491
1330464,479
1343984,486
1357508,484
1371024,481
1384544,490
1398064,476
1411584,495
1425104,470
1438628,500
1452144,466
1465664,504
1479184,461
1492704,509
1506224,456
1519744,514
1533264,451
1546784,519
1560304,446
1573828,523
1587352,462
1600872,502
1614384,467
1627904,497
1641424,473
1654944,492
1668468,479
1681984,486
1695504,485
1709028,481
1722544,489
1736064,476
1749588,495
1763104,470
1776624,500
1790148,466
1803664,504
1817188,461
1830704,509
1844232,455
1857748,514
1871268,451
1884788,518
1898304,446
1911824,523
1925352,462
1938872,502
1952388,467
1965904,497
1979424,473
1992948,491
2006468,479
2019988,486
2033508,485
2047024,481
2060544,490
2074064,475
2087584,495
2101104,471
2114624,500
2128144,466
2141668,505
2155184,461
2168704,509
2182224,456
2195744,514
2209264,451
2222784,519
2236304,446
2249824,523
2263352,462
2276872,502
2290388,467
2303904,497
2317428,473
2330944,492
2344468,479
2357984,486
2371504,484
2385024,481
2398544,490
2412064,476
2425584,495
2439104,471
2452628,500
2466148,466
2479664,505
2493184,460
2506704,509
2520224,456
2533748,514
2547264,452
2560788,519
2574304,446
2587824,523
2601352,462
2614872,503
2628384,467
2641904,498
2655424,473
2668944,492
2682464,479
2695984,486
2709512,485
2723028,481
2736544,490
2750064,475
2763584,495
2777104,471
2790624,500
2804144,466
2817668,505
2831184,461
2844708,509
2858224,456
2871744,514
2885264,451
2898784,519
2912304,446
2925824,523
2939352,462
2952872,503
2966384,467
2979904,498
2993424,473
3006944,491
3020464,479
3033984,486
3047504,485
3061024,481
3074544,490
3088068,476
3101584,495
3115108,471
3128624,500
3142148,466
3155664,504
3169184,461
3182704,509
3196224,456
3209744,514
3223264,451
3236784,519
3250304,447
3263824,523
3277352,462
3290872,502
3304384,467
3317904,497
3331424,474
3344948,492
3358468,479
3371988,486
3385508,484
3399028,481
3412548,490
3426068,476
3439584,495
3453104,471
3466624,500
3480148,466
3493668,505
3507184,461
3520704,509
3534224,456
3547748,514
3561264,452
3574792,519
3588304,446
3601824,523
3615352,462
3628872,502
3642384,467
3655904,498
3669424,474
3682944,492
3696464,479
3709984,486
3723508,484
3737028,481
3750548,490
3764064,476
3777588,495
3791108,471
3804624,500
3818148,466
3831664,505
3845184,461
3858708,509
3872224,456
3885748,514
3899264,451
3912784,519
3926308,447
3939824,523
3953352,462
3966872,503
3980388,467
3993904,497
4007424,473
4020944,492
4034464,479
4047984,486
4061504,485
4075024,481
4088548,490
4102064,476
4115588,495
4129104,471
4142624,500
4156144,465
4169668,505
4183184,461
4196704,509
4210224,456
4223748,514
4237268,452
4250784,519
4264304,447
4277828,523
4291352,462
4304872,503
4318384,467
4331904,497
4345424,473
4358944,492
4372464,479
4385988,486
4399504,485
4413024,481
4426544,490
4440072,475
4453584,495
4467104,471
4480628,500
4494148,466
4507664,505
4521184,461
4534704,509
4548224,456
4561748,514
4575264,452
4588784,519
4602308,447
4615824,523
4629352,462
4642872,503
4656384,467
4669904,497
4683424,474
4696944,492
4710464,479
4723988,486
4737504,485
4751028,481
4764544,490
4778064,476
4791588,495
4805108,471
4818624,500
4832144,466
4845664,505
4859188,461
4872704,509
4886224,456
4899744,514
4913268,452
4926784,518
4940304,447
4953824,523
4967352,462
4980872,503
4994384,467
5007908,498
