time,range
1512,243
2996,451
4476,597
5964,704
7456,782
8952,640
10440,457
15896,380
27336,207
38776,311
50212,471
61660,720
73096,729
84536,600
95976,407
107416,199
119896,238
132372,285
144852,341
157332,410
169816,493
182296,595
194780,720
207252,782
219736,741
232216,692
244696,633
257176,564
269652,481
282136,380
294620,259
307096,199
319576,238
332056,285
344536,341
357012,410
369496,494
381976,596
394460,720
406932,782
419416,741
431892,692
444376,633
456852,564
469336,481
481816,381
494300,259
506776,199
519256,238
531736,285
544216,342
556696,410
569176,494
581656,595
594140,720
606616,782
619096,741
631576,692
644056,633
656536,564
669016,481
681492,380
693980,259
706456,199
718936,238
731416,285
743896,341
756376,410
768856,494
781336,596
793820,720
806296,782
818776,741
831256,692
843736,633
856212,564
868696,481
881176,381
893660,259
906136,200
918616,238
931092,285
943576,342
956056,410
968536,494
981012,596
993500,721
1005972,782
1019496,792
1033016,800
1046540,758
1060060,721
1073580,686
1087100,654
1100620,623
1114136,596
1127656,568
1141176,543
1154692,517
1168216,494
1181736,471
1195256,450
1208776,430
1222292,410
1235812,392
1249336,374
1262852,358
1276376,342
1289896,326
1303416,312
1316936,298
1330456,286
1343972,273
1357492,261
1371016,249
1384532,239
1398056,228
1411576,218
1425092,208
1438616,200
1452132,191
1465656,180
1479180,223
1492700,259
1506220,292
1519740,324
1533260,353
1546776,381
1560296,407
1573816,433
1587336,457
1600856,481
1614372,503
1627896,524
1641412,544
1654936,564
1668456,582
1681976,600
1695492,617
1709016,633
1722536,649
1736056,664
1749572,678
1763096,691
1776616,705
1790136,717
1803656,729
1817172,741
1830692,752
1844212,763
1857736,773
1871256,782
1884772,792
1898296,800
1911820,758
1925340,720
1938860,686
1952380,654
1965900,624
1979412,596
1992936,568
2006456,543
2019976,518
2033496,494
2047016,472
2060536,450
2074056,430
2087576,410
2101096,392
2114616,375
2128132,358
2141656,342
2155176,327
2168696,312
2182216,298
2195736,285
2209256,273
2222776,261
2236292,250
2249816,239
2263332,228
2276856,218
2290376,209
2303896,200
2317412,191
2330936,180
2344460,223
2357980,259
2371500,293
2385020,324
2398540,353
2412056,381
2425576,407
2439092,433
2452616,458
2466136,481
2479652,503
2493172,524
2506696,545
2520212,564
2533736,582
2547256,600
2560776,617
2574296,633
2587816,649
2601336,663
2614856,678
2628376,692
2641896,705
2655416,717
2668936,729
2682456,741
2695976,752
2709492,762
2723012,773
2736536,782
2750052,792
2763572,800
2777100,758
2790620,721
2804140,686
2817660,654
2831180,623
2844696,596
2858216,569
2871736,543
2885256,518
2898772,494
2912296,472
2925812,450
2939336,430
2952852,411
2966376,392
2979896,375
2993416,358
3006936,342
3020452,327
3033972,313
3047492,299
3061016,285
3074532,273
3088052,261
3101572,250
3115096,239
3128612,228
3142136,218
3155652,209
3169176,200
3182696,191
3196216,180
3209740,224
3223260,260
3236780,293
3250300,324
3263820,353
3277332,381
3290856,407
3304376,433
3317896,457
3331416,481
3344936,503
3358452,524
3371976,545
3385496,564
3399012,582
3412536,600
3426056,617
3439576,633
3453096,649
3466612,664
3480136,678
3493656,691
3507176,705
3520696,717
3534216,729
3547736,741
3561252,752
3574772,762
3588292,773
3601816,782
3615336,792
3628856,801
3642380,758
3655900,720
3669420,686
3682940,654
3696460,624
3709976,596
3723496,569
3737012,543
3750536,518
3764052,494
3777576,472
3791096,451
3804616,430
3818136,411
3831656,392
3845172,375
3858696,358
3872216,342
3885736,327
3899256,312
3912776,299
3926296,286
3939816,273
3953336,261
3966856,250
3980372,239
3993892,228
4007412,219
4020932,209
4034456,200
4047976,191
4061496,180
4075020,224
4088540,260
4102060,293
4115580,324
4129100,354
4142616,381
4156136,407
4169656,433
4183172,458
4196696,481
4210216,503
4223736,524
4237256,544
4250772,564
4264296,582
4277816,600
4291336,617
4304856,633
4318376,649
4331896,664
4345416,678
4358936,692
4372456,705
4385976,717
4399496,729
4413012,741
4426536,752
4440056,762
4453572,772
4467092,782
4480616,792
4494136,801
4507660,758
4521180,721
4534700,686
4548220,654
4561740,624
4575256,596
4588776,569
4602292,543
4615816,518
4629332,495
4642852,472
4656376,450
4669896,430
4683416,411
4696936,392
4710456,375
4723976,358
4737496,342
4751016,327
4764536,313
4778056,299
4791572,286
4805096,273
4818616,261
4832136,250
4845656,239
4859176,228
4872696,219
4886216,209
4899736,200
4913256,191
4926776,180
4940300,223
4953820,260
4967340,293
4980860,324
4994380,354
5007896,381
5021416,407
5034936,433
