time,range
639349,833
640350,831
641350,830
642351,832
643352,831
644353,832
645353,832
646353,832
647354,832
648354,832
649355,834
650355,831
651356,833
652357,832
653358,831
654358,832
655358,832
656359,831
657359,831
658360,833
659360,831
660361,832
661361,832
662363,832
663363,831
664364,832
665364,831
666364,832
667365,831
668365,832
669366,832
670366,833
671368,832
672368,832
673369,832
674369,833
675369,832
676370,832
677370,833
678371,832
679371,833
680373,833
681373,831
682374,831
683374,831
684375,831
685375,831
686375,832
687376,832
688376,832
689377,832
690378,831
691379,832
692379,832
693380,833
694380,832
695380,832
696381,833
697381,833
698382,832
699383,833
700384,833
701384,832
702385,833
703385,832
704386,832
705386,832
706386,832
707387,834
708387,832
709389,833
710389,832
711390,832
712390,832
713391,833
714391,833
715392,833
716392,833
717392,832
718394,833
719394,833
720395,833
721395,834
722396,832
723396,833
724397,833
725397,834
726397,833
727398,833
728399,833
729400,833
730400,834
731401,833
732401,834
733402,834
734402,833
735403,833
736403,834
737404,835
738405,834
739405,834
740406,835
741406,834
742407,834
743407,834
744408,835
745408,833
746409,833
747410,835
748410,835
749411,835
750411,834
751412,835
752412,834
753413,834
754413,834
755414,835
756415,835
757415,834
758416,834
759416,835
760417,834
761417,835
762418,834
763418,836
764419,835
765420,835
766420,836
767421,834
768421,836
769422,835
770422,835
771423,835
772423,836
773424,835
774424,838
775426,836
776426,836
777426,835
778427,837
779427,834
780428,837
781428,836
782429,835
783429,836
784431,837
785431,836
786432,835
787432,836
788432,835
789433,835
790433,835
791434,836
792434,836
793435,835
794436,835
795437,837
796437,835
797437,836
798438,837
799438,835
800439,835
801439,836
802440,836
803441,837
804442,836
805442,837
806443,836
807443,838
808443,836
809444,836
810444,835
811445,836
812445,836
813447,836
814447,836
815448,836
816448,836
817448,836
818449,838
819449,836
820450,837
821450,836
822452,836
823452,836
824453,836
825453,836
826454,836
827454,838
828454,836
829455,836
830455,836
831456,835
832457,836
833458,836
834458,836
835459,836
836459,836
837459,836
838460,837
839460,836
840461,836
841462,838
842463,836
843463,837
844464,836
845464,836
846465,837
847465,836
848465,838
849466,836
850467,837
851468,837
852468,836
853469,836
854469,838
855470,835
856470,836
857470,836
858471,836
859471,837
860473,836
861473,837
862474,836
863474,837
864475,836
865475,836
866476,836
867476,838
868476,837
869478,836
870478,837
871479,837
872479,837
873480,837
874480,837
875481,837
876481,837
877481,837
878482,836
879483,839
880484,838
881484,837
882485,838
883485,837
884486,837
885486,836
886487,837
887487,837
888488,836
889489,837
890489,839
891490,838
892490,837
893491,837
894491,838
895492,837
896492,838
897492,837
898494,838
899494,838
900495,837
901495,838
902496,837
903496,837
904497,838
905497,840
906498,838
907499,840
908499,838
909500,837
910500,837
911501,839
912501,840
913502,838
914502,837
915503,839
916503,837
917505,838
918505,837
919505,837
920506,837
921506,837
922507,837
923507,837
924508,837
925508,838
926510,838
927510,838
928510,838
929511,838
930511,838
931512,838
932512,839
933513,838
934513,838
935514,838
936515,838
937516,838
938516,840
939516,839
940517,838
941517,838
942518,837
943518,838
944519,838
945520,839
946521,839
947521,838
948521,839
949522,838
950522,838
951523,839
952523,838
953524,838
954524,839
955526,838
956526,839
957527,838
958527,840
959527,838
960528,840
961528,839
962529,838
963529,839
964531,839
965531,838
966532,839
967532,837
968532,839
969533,838
970533,838
971534,839
972534,839
973535,840
974536,838
975537,839
976537,840
977538,841
978538,840
979538,839
980539,838
981539,840
982540,838
983541,841
984542,839
985542,839
986543,839
987543,839
988544,839
989544,839
990544,841
991545,838
992545,839
993547,840
994547,840
995548,840
996548,839
997549,839
998549,839
999549,840
1000550,840
1001550,840
1002552,840
1003552,839
1004553,841
1005553,840
1006554,842
1007554,840
1008556,841
1009556,839
1010556,840
1011557,841
1012557,842
1013558,839
1014558,839
1015560,840
1016560,840
1017561,839
1018561,840
1019561,839
1020562,840
1021563,840
1022564,840
1023564,839
1024565,840
1025565,839
1026566,839
1027566,841
1028568,841
1029568,839
1030568,839
1031569,841
1032569,839
1033570,838
1034570,839
1035572,839
1036572,839
1037573,838
1038573,839
1039574,839
1040574,839
1041575,840
1042576,839
1043576,840
1044577,840
1045577,839
1046578,839
1047578,841
1048580,839
1049580,840
1050580,840
1051581,840
1052581,839
1053582,839
1054583,839
1055584,840
1056584,839
1057585,839
1058585,838
1059586,839
1060586,839
1061587,839
1062588,839
1063588,838
1064589,839
1065589,839
1066590,841
1067590,840
1068592,841
1069592,840
1070593,841
1071593,840
1072593,841
1073594,839
1074595,840
1075596,840
1076596,840
1077597,840
1078597,840
1079598,840
1080598,840
1081600,840
1082600,840
1083600,840
1084601,840
1085601,840
1086602,841
1087603,840
1088604,840
1089604,840
1090605,840
1091605,840
1092605,840
1093606,840
1094607,841
1095608,840
1096608,841
1097609,840
1098609,841
1099610,841
1100610,840
1101612,842
1102612,840
1103612,841
1104613,840
1105613,841
1106614,842
1107615,841
1108616,842
1109616,841
1110617,840
1111617,840
1112617,840
1113618,840
1114619,840
1115620,840
1116620,840
1117621,840
1118621,840
1119622,841
1120623,841
1121624,841
1122624,840
1123624,840
1124625,841
1125625,841
1126626,841
1127627,840
